,Position,Driver,Car,Time / Gap,Laps
16,1,Charles Leclerc,Ferrari,1:29.735,23
1,2,Max Verstappen,Red Bull Racing RBPT,+0.033s,12
11,3,Sergio Perez,Red Bull Racing RBPT,+0.098s,16
55,4,Carlos Sainz,Ferrari,+0.274s,22
77,5,Valtteri Bottas,Alfa Romeo Ferrari,+0.295s,22
31,6,Esteban Ocon,Alpine Renault,+0.404s,16
10,7,Pierre Gasly,AlphaTauri RBPT,+0.413s,11
20,8,Kevin Magnussen,Haas Ferrari,+0.527s,18
14,9,Fernando Alonso,Alpine Renault,+0.561s,17
22,10,Yuki Tsunoda,AlphaTauri RBPT,+0.680s,19
44,11,Lewis Hamilton,Mercedes,+0.972s,17
47,12,Mick Schumacher,Haas Ferrari,+1.030s,17
24,13,Guanyu Zhou,Alfa Romeo Ferrari,+1.211s,20
63,14,George Russell,Mercedes,+1.248s,15
18,15,Lance Stroll,Aston Martin Aramco Mercedes,+1.332s,18
3,16,Daniel Ricciardo,McLaren Mercedes,+1.451s,16
23,17,Alexander Albon,Williams Mercedes,+1.639s,16
27,18,Nico Hulkenberg,Aston Martin Aramco Mercedes,+1.689s,18
4,19,Lando Norris,McLaren Mercedes,+1.794s,17
6,20,Nicholas Latifi,Williams Mercedes,+2.257s,13
