,Position,Driver,Car,Q1,Q2,Q3,Laps
11,1,Sergio Perez,Red Bull Racing RBPT,1:29.705,1:28.924,1:28.200,20
16,2,Charles Leclerc,Ferrari,1:29.039,1:28.780,1:28.225,22
55,3,Carlos Sainz,Ferrari,1:28.855,1:28.686,1:28.402,23
1,4,Max Verstappen,Red Bull Racing RBPT,1:28.928,1:28.945,1:28.461,22
31,5,Esteban Ocon,Alpine Renault,1:30.093,1:29.584,1:29.068,19
63,6,George Russell,Mercedes,1:29.680,1:29.618,1:29.104,21
14,7,Fernando Alonso,Alpine Renault,1:29.978,1:29.295,1:29.147,20
77,8,Valtteri Bottas,Alfa Romeo Ferrari,1:29.683,1:29.404,1:29.183,22
10,9,Pierre Gasly,AlphaTauri RBPT,1:29.891,1:29.418,1:29.254,22
20,10,Kevin Magnussen,Haas Ferrari,1:29.831,1:29.546,1:29.588,24
4,11,Lando Norris,McLaren Mercedes,1:29.957,1:29.651,,16
3,12,Daniel Ricciardo,McLaren Mercedes,1:30.009,1:29.773,,17
24,13,Guanyu Zhou,Alfa Romeo Ferrari,1:29.978,1:29.819,,17
47,14,Mick Schumacher,Haas Ferrari,1:30.167,1:29.920,,13
18,15,Lance Stroll,Aston Martin Aramco Mercedes,1:30.256,1:31.009,,15
44,16,Lewis Hamilton,Mercedes,1:30.343,,,11
23,17,Alexander Albon,Williams Mercedes,1:30.492,,,9
27,18,Nico Hulkenberg,Aston Martin Aramco Mercedes,1:30.543,,,10
6,19,Nicholas Latifi,Williams Mercedes,1:31.817,,,4
22,NC,Yuki Tsunoda,AlphaTauri RBPT,DNS,,,2
