,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
16,1,Charles Leclerc,Ferrari,48,1:31.634,242.556,21:24:43
1,2,Max Verstappen,Red Bull Racing RBPT,50,1:31.772,242.191,21:27:46
55,3,Carlos Sainz,Ferrari,48,1:31.905,241.841,21:24:50
11,4,Sergio Perez,Red Bull Racing RBPT,46,1:32.042,241.481,21:21:47
4,5,Lando Norris,McLaren Mercedes,46,1:32.753,239.629,21:22:26
20,6,Kevin Magnussen,Haas Ferrari,48,1:32.779,239.562,21:25:44
63,7,George Russell,Mercedes,43,1:32.821,239.454,21:17:24
44,8,Lewis Hamilton,Mercedes,47,1:32.997,239.001,21:24:16
31,9,Esteban Ocon,Alpine Renault,46,1:33.103,238.729,21:22:25
10,10,Pierre Gasly,AlphaTauri RBPT,42,1:33.468,237.796,21:16:17
27,11,Nico Hulkenberg,Aston Martin Aramco Mercedes,47,1:33.651,237.332,21:24:31
14,12,Fernando Alonso,Alpine Renault,33,1:33.831,236.876,21:00:34
24,13,Guanyu Zhou,Alfa Romeo Ferrari,45,1:33.924,236.642,21:21:14
77,14,Valtteri Bottas,Alfa Romeo Ferrari,31,1:33.979,236.503,20:57:27
23,15,Alexander Albon,Williams Mercedes,46,1:34.368,235.528,21:22:46
18,16,Lance Stroll,Aston Martin Aramco Mercedes,46,1:34.446,235.334,21:22:45
3,17,Daniel Ricciardo,McLaren Mercedes,34,1:34.487,235.232,21:02:18
6,18,Nicholas Latifi,Williams Mercedes,9,1:37.530,227.892,20:18:21
