,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Fernando Alonso,Ferrari,51,1:33.468,198.279
7,2,Kimi Räikkönen,Lotus Renault,57,1:33.767,197.647
17,3,Valtteri Bottas,Williams Renault,56,1:33.972,197.216
10,4,Lewis Hamilton,Mercedes,57,1:34.156,196.830
1,5,Sebastian Vettel,Red Bull Racing Renault,59,1:34.164,196.814
9,6,Nico Rosberg,Mercedes,55,1:34.181,196.778
5,7,Jenson Button,McLaren Mercedes,49,1:34.201,196.736
11,8,Nico Hulkenberg,Sauber Ferrari,58,1:34.244,196.647
16,9,Pastor Maldonado,Williams Renault,56,1:34.293,196.544
8,10,Romain Grosjean,Lotus Renault,57,1:34.576,195.956
2,11,Mark Webber,Red Bull Racing Renault,55,1:34.782,195.530
12,12,Esteban Gutierrez ,Sauber Ferrari,56,1:35.792,193.469
15,13,Adrian Sutil,Force India Mercedes,60,1:35.816,193.420
19,14,Daniel Ricciardo,STR Ferrari,58,1:35.982,193.086
6,15,Sergio Perez,McLaren Mercedes,50,1:36.134,192.780
14,16,Paul di Resta,Force India Mercedes,43,1:36.566,191.918
20,17,Charles Pic,Caterham Renault,51,1:37.584,189.916
23,18,Max Chilton,Marussia Cosworth,47,1:38.383,188.374
21,19,Giedo van der Garde,Caterham Renault,40,1:38.509,188.133
4,20,Felipe Massa,Ferrari,3,1:38.890,187.408
18,21,Jean-Eric Vergne,STR Ferrari,12,1:39.281,186.670
22,22,Jules Bianchi,Marussia Cosworth,20,1:39.844,185.617
