,Position,Driver,Car,Q1,Q2,Q3,Laps
10,1,Lewis Hamilton,Mercedes,1:31.131,1:30.152,1:29.398,14
1,2,Sebastian Vettel,Red Bull Racing Renault,1:31.269,1:29.992,1:29.501,14
2,3,Mark Webber,Red Bull Racing Renault,1:31.428,1:30.217,1:29.608,14
7,4,Kimi Räikkönen,Lotus Renault,1:30.676,1:29.852,1:29.892,15
8,5,Romain Grosjean,Lotus Renault,1:31.242,1:30.005,1:29.959,16
19,6,Daniel Ricciardo,STR Ferrari,1:31.081,1:30.223,1:30.528,16
4,7,Felipe Massa,Ferrari,1:30.547,1:29.825,1:31.126,17
3,8,Fernando Alonso,Ferrari,1:30.709,1:29.962,1:31.209,15
5,9,Jenson Button,McLaren Mercedes,1:31.181,1:30.269,DNF,16
11,10,Nico Hulkenberg,Sauber Ferrari,1:31.132,1:30.231,DNF,13
9,11,Nico Rosberg,Mercedes,1:31.322,1:30.326,,10
14,12,Paul di Resta,Force India Mercedes,1:31.322,1:30.697,,18
6,13,Sergio Perez,McLaren Mercedes,1:31.498,1:30.933,,16
12,14,Esteban Gutierrez ,Sauber Ferrari,1:31.681,1:31.010,,17
15,15,Adrian Sutil,Force India Mercedes,1:31.320,1:31.010,,15
18,16,Jean-Eric Vergne,STR Ferrari,1:31.629,1:31.104,,12
17,17,Valtteri Bottas,Williams Renault,1:31.693,,,8
16,18,Pastor Maldonado,Williams Renault,1:31.707,,,6
20,19,Charles Pic,Caterham Renault,1:32.937,,,8
22,20,Jules Bianchi,Marussia Cosworth,1:33.063,,,9
21,21,Giedo van der Garde,Caterham Renault,1:33.734,,,8
23,22,Max Chilton,Marussia Cosworth,1:34.098,,,9
