,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,55,1:32.238,212.749
2,2,Rubens Barrichello,Ferrari,28,1:32.455,212.250
6,3,Kimi Räikkönen,McLaren Mercedes,53,1:32.876,211.288
9,4,Jenson Button,BAR Honda,33,1:32.935,211.154
3,5,Juan Pablo Montoya,Williams BMW,34,1:33.108,210.761
12,6,Felipe Massa,Sauber Petronas,43,1:33.483,209.916
11,7,Giancarlo Fisichella,Sauber Petronas,25,1:33.520,209.833
10,8,Takuma Sato,BAR Honda,36,1:33.533,209.804
4,9,Ralf Schumacher,Williams BMW,31,1:33.546,209.774
8,10,Fernando Alonso,Renault,55,1:33.625,209.597
5,11,David Coulthard,McLaren Mercedes,26,1:33.727,209.369
16,12,Ricardo Zonta,Toyota,24,1:34.269,208.165
17,13,Olivier Panis,Toyota,51,1:34.603,207.431
18,14,Nick Heidfeld,Jordan Ford,55,1:34.717,207.181
14,15,Mark Webber,Jaguar Cosworth,32,1:34.893,206.797
19,16,Timo Glock,Jordan Ford,54,1:34.931,206.714
7,17,Jacques Villeneuve,Renault,55,1:34.950,206.672
15,18,Christian Klien,Jaguar Cosworth,10,1:36.888,202.539
20,19,Gianmaria Bruni,Minardi Cosworth,23,1:37.377,201.521
21,20,Zsolt Baumgartner,Minardi Cosworth,51,1:37.578,201.106
