,Position,Driver,Car,Time / Gap,Laps
8,1,Fernando Alonso,Ferrari,1:16.265,35
5,2,Sebastian Vettel,RBR Renault,+0.029s,26
7,3,Felipe Massa,Ferrari,+0.173s,37
6,4,Mark Webber,RBR Renault,+0.320s,40
4,5,Nico Rosberg,Mercedes,+0.562s,32
3,6,Michael Schumacher,Mercedes,+0.706s,20
2,7,Lewis Hamilton,McLaren Mercedes,+0.739s,10
11,8,Robert Kubica,Renault,+0.744s,37
9,9,Rubens Barrichello,Williams Cosworth,+0.791s,37
10,10,Nico Hulkenberg,Williams Cosworth,+0.939s,44
23,11,Kamui Kobayashi,Sauber Ferrari,+1.071s,44
12,12,Vitaly Petrov,Renault,+1.282s,35
22,13,Pedro de la Rosa,Sauber Ferrari,+1.308s,39
14,14,Adrian Sutil,Force India Mercedes,+1.436s,38
1,15,Jenson Button,McLaren Mercedes,+1.474s,36
15,16,Vitantonio Liuzzi,Force India Mercedes,+1.606s,33
16,17,Sebastien Buemi,STR Ferrari,+1.882s,45
17,18,Jaime Alguersuari,STR Ferrari,+3.062s,48
24,19,Timo Glock,Virgin Cosworth,+3.288s,30
18,20,Jarno Trulli,Lotus Cosworth,+3.743s,34
25,21,Lucas di Grassi,Virgin Cosworth,+3.841s,31
19,22,Heikki Kovalainen,Lotus Cosworth,+4.112s,37
21,23,Bruno Senna,HRT Cosworth,+5.723s,37
20,24,Sakon Yamamoto,HRT Cosworth,+6.801s,37
