,Position,Driver,Car,Time / Gap,Laps
11,1,Sergio Perez,Red Bull Racing RBPT,1:30.304,21
16,2,Charles Leclerc,Ferrari,+0.194s,23
1,3,Max Verstappen,Red Bull Racing RBPT,+0.345s,20
14,4,Fernando Alonso,Alpine Renault,+0.732s,18
5,5,Sebastian Vettel,Aston Martin Aramco Mercedes,+0.745s,24
47,6,Mick Schumacher,Haas Ferrari,+0.746s,19
55,7,Carlos Sainz,Ferrari,+0.868s,24
20,8,Kevin Magnussen,Haas Ferrari,+0.923s,20
23,9,Alexander Albon,Williams Mercedes,+1.197s,14
4,10,Lando Norris,McLaren Mercedes,+1.290s,18
22,11,Yuki Tsunoda,AlphaTauri RBPT,+1.355s,24
18,12,Lance Stroll,Aston Martin Aramco Mercedes,+1.361s,22
3,13,Daniel Ricciardo,McLaren Mercedes,+1.424s,19
77,14,Valtteri Bottas,Alfa Romeo Ferrari,+1.581s,26
44,15,Lewis Hamilton,Mercedes,+1.586s,20
10,16,Pierre Gasly,AlphaTauri RBPT,+1.597s,18
63,17,George Russell,Mercedes,+1.620s,19
24,18,Guanyu Zhou,Alfa Romeo Ferrari,+1.747s,16
6,19,Nicholas Latifi,Williams Mercedes,+2.072s,16
31,20,Esteban Ocon,Alpine Renault,,3
