,Position,Driver,Car,Q1,Q2,Q3,Laps
16,1,Charles Leclerc,Ferrari,1:29.474,1:29.130,1:28.796,25
55,2,Carlos Sainz,Ferrari,1:30.079,1:29.729,1:28.986,26
1,3,Max Verstappen,Red Bull Racing RBPT,1:29.836,1:29.202,1:28.991,18
11,4,Sergio Perez,Red Bull Racing RBPT,1:30.055,1:29.673,1:29.036,21
77,5,Valtteri Bottas,Alfa Romeo Ferrari,1:30.845,1:29.751,1:29.475,20
44,6,Lewis Hamilton,Mercedes,1:30.388,1:29.797,1:29.625,21
10,7,Pierre Gasly,AlphaTauri RBPT,1:30.779,1:30.128,1:29.690,22
4,8,Lando Norris,McLaren Mercedes,1:30.761,1:29.634,1:29.750,22
22,9,Yuki Tsunoda,AlphaTauri RBPT,1:30.485,1:30.031,1:29.932,21
18,10,Lance Stroll,Aston Martin Aramco Mercedes,1:30.441,1:29.996,1:30.676,21
14,11,Fernando Alonso,Alpine Renault,1:30.407,1:30.160,,14
63,12,George Russell,Mercedes,1:30.490,1:30.173,,15
5,13,Sebastian Vettel,Aston Martin Aramco Mercedes,1:30.677,1:30.214,,15
3,14,Daniel Ricciardo,McLaren Mercedes,1:30.583,1:30.310,,15
47,15,Mick Schumacher,Haas Ferrari,1:30.645,1:30.423,,19
20,16,Kevin Magnussen,Haas Ferrari,1:30.975,,,11
24,17,Guanyu Zhou,Alfa Romeo Ferrari,1:31.020,,,9
23,18,Alexander Albon,Williams Mercedes,1:31.266,,,10
6,19,Nicholas Latifi,Williams Mercedes,1:31.325,,,10
