,Position,Driver,Car,Laps,Time,Points
1,1,Max Verstappen,Red Bull Racing RBPT,57,1:34:24.258,26
16,2,Charles Leclerc,Ferrari,57,+3.786s,18
55,3,Carlos Sainz,Ferrari,57,+8.229s,15
11,4,Sergio Perez,Red Bull Racing RBPT,57,+10.638s,12
63,5,George Russell,Mercedes,57,+18.582s,10
44,6,Lewis Hamilton,Mercedes,57,+21.368s,8
77,7,Valtteri Bottas,Alfa Romeo Ferrari,57,+25.073s,6
31,8,Esteban Ocon,Alpine Renault,57,+28.386s,4
23,9,Alexander Albon,Williams Mercedes,57,+32.365s,2
18,10,Lance Stroll,Aston Martin Aramco Mercedes,57,+37.026s,1
14,11,Fernando Alonso,Alpine Renault,57,+37.128s,0
22,12,Yuki Tsunoda,AlphaTauri RBPT,57,+40.146s,0
3,13,Daniel Ricciardo,McLaren Mercedes,57,+40.902s,0
6,14,Nicholas Latifi,Williams Mercedes,57,+49.936s,0
47,15,Mick Schumacher,Haas Ferrari,57,+73.305s,0
20,16,Kevin Magnussen,Haas Ferrari,56,DNF,0
5,17,Sebastian Vettel,Aston Martin Aramco Mercedes,54,DNF,0
10,NC,Pierre Gasly,AlphaTauri RBPT,45,DNF,0
4,NC,Lando Norris,McLaren Mercedes,39,DNF,0
24,NC,Guanyu Zhou,Alfa Romeo Ferrari,6,DNF,0
