,Position,Driver,Car,Time / Gap,Laps
16,1,Charles Leclerc,Ferrari,1:31.098,26
63,2,George Russell,Mercedes,+0.071s,23
1,3,Max Verstappen,Red Bull Racing RBPT,+0.179s,14
11,4,Sergio Perez,Red Bull Racing RBPT,+0.203s,22
10,5,Pierre Gasly,AlphaTauri RBPT,+0.400s,27
55,6,Carlos Sainz,Ferrari,+0.430s,25
23,7,Alexander Albon,Williams Mercedes,+0.756s,20
44,8,Lewis Hamilton,Mercedes,+0.858s,23
20,9,Kevin Magnussen,Haas Ferrari,+1.461s,20
3,10,Daniel Ricciardo,McLaren Mercedes,+1.494s,21
4,11,Lando Norris,McLaren Mercedes,+1.517s,26
14,12,Fernando Alonso,Alpine Renault,+1.786s,31
24,13,Guanyu Zhou,Alfa Romeo Ferrari,+1.922s,23
5,14,Sebastian Vettel,Aston Martin Aramco Mercedes,+1.926s,24
31,15,Esteban Ocon,Alpine Renault,+2.319s,27
18,16,Lance Stroll,Aston Martin Aramco Mercedes,+2.478s,23
77,17,Valtteri Bottas,Alfa Romeo Ferrari,+2.675s,13
22,18,Yuki Tsunoda,AlphaTauri RBPT,+2.945s,27
47,19,Mick Schumacher,Haas Ferrari,+3.847s,20
6,20,Nicholas Latifi,Williams Mercedes,+4.539s,27
