,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
1,1,Max Verstappen,Red Bull Racing RBPT,54,1:31.361,213.255,17:03:04
16,2,Charles Leclerc,Ferrari,53,1:31.488,212.959,17:01:34
55,3,Carlos Sainz,Ferrari,56,1:31.790,212.258,17:06:15
11,4,Sergio Perez,Red Bull Racing RBPT,54,1:31.819,212.191,17:03:13
63,5,George Russell,Mercedes,56,1:32.195,211.325,17:06:25
47,6,Mick Schumacher,Haas Ferrari,57,1:32.528,210.565,17:08:53
44,7,Lewis Hamilton,Mercedes,55,1:32.941,209.629,17:04:54
22,8,Yuki Tsunoda,AlphaTauri RBPT,55,1:33.035,209.417,17:05:11
31,9,Esteban Ocon,Alpine Renault,56,1:33.163,209.130,17:06:34
77,10,Valtteri Bottas,Alfa Romeo Ferrari,56,1:33.184,209.083,17:06:31
3,11,Daniel Ricciardo,McLaren Mercedes,56,1:33.265,208.901,17:06:42
18,12,Lance Stroll,Aston Martin Aramco Mercedes,52,1:33.312,208.796,17:00:23
14,13,Fernando Alonso,Alpine Renault,53,1:33.331,208.753,17:01:52
4,14,Lando Norris,McLaren Mercedes,37,1:33.411,208.575,16:32:36
23,15,Alexander Albon,Williams Mercedes,57,1:33.447,208.494,17:08:12
5,16,Sebastian Vettel,Aston Martin Aramco Mercedes,50,1:33.479,208.423,16:57:12
20,17,Kevin Magnussen,Haas Ferrari,52,1:33.511,208.351,17:00:23
6,18,Nicholas Latifi,Williams Mercedes,53,1:34.169,206.896,17:02:09
10,19,Pierre Gasly,AlphaTauri RBPT,38,1:34.487,206.199,16:34:03
24,20,Guanyu Zhou,Alfa Romeo Ferrari,4,1:35.731,203.520,15:39:50
