,Position,Driver,Car,Time
4,1,Jim Clark,Lotus Climax,1:34.400
9,2,Dan Gurney,Lotus Climax,1:34.600
1,3,Graham Hill,BRM,1:34.800
8,4,Jack Brabham,Lotus Climax,1:35.000
10,5,John Surtees,Ferrari,1:35.200
6,6,Bruce McLaren,Cooper Climax,1:35.400
7,7,Tony Maggs,Cooper Climax,1:36.000
3,8,Lorenzo Bandini,Cooper Climax,1:36.000
2,9,Richie Ginther,BRM,1:36.000
5,10,Trevor  Taylor ,Lotus Climax,1:36.800
11,11,Innes Ireland,Lotus BRM,1:36.800
14,12,Jo Bonnier,Cooper Climax,1:36.800
12,13,Jim  Hall ,Lotus BRM,1:37.000
19,14,Chris Amon,Lola Climax,1:37.200
25,15,Jo Siffert,Lotus BRM,1:38.400
22,16,Bob Anderson,Lola Climax,1:39.000
20,17,Mike Hailwood,Lola Climax,1:39.800
15,18,Tony  Settember ,Scirocco BRM,1:40.800
26,19,Ian Raby,Gilby BRM,1:42.400
16,20,Ian Burgess ,Scirocco BRM,1:42.600
23,21,Carel Godin de Beaufort ,Porsche,1:43.400
21,22,Masten Gregory,Lola Climax,1:44.200
24,23,John  Campbell-Jones ,Lotus BRM,1:48.800
