,Position,Driver,Car,Time / Gap,Laps
4,1,Lewis Hamilton,McLaren Mercedes,1:42.130,18
3,2,Jenson Button,McLaren Mercedes,+0.290s,17
1,3,Sebastian Vettel,Red Bull Racing Renault,+0.484s,7
2,4,Mark Webber,Red Bull Racing Renault,+0.613s,18
12,5,Nico Hulkenberg,Force India Mercedes,+0.620s,19
10,6,Romain Grosjean,Lotus Renault,+0.885s,18
18,7,Pastor Maldonado,Williams Renault,+0.934s,19
5,8,Fernando Alonso,Ferrari,+1.003s,15
9,9,Kimi Räikkönen,Lotus Renault,+1.054s,22
11,10,Paul di Resta,Force India Mercedes,+1.208s,19
6,11,Felipe Massa,Ferrari,+1.350s,17
15,12,Sergio Perez,Sauber Ferrari,+1.441s,20
8,13,Nico Rosberg,Mercedes,+1.463s,20
7,14,Michael Schumacher,Mercedes,+1.505s,19
14,15,Kamui Kobayashi,Sauber Ferrari,+1.880s,22
17,16,Jean-Eric Vergne,STR Ferrari,+1.895s,18
19,17,Bruno Senna,Williams Renault,+1.941s,19
16,18,Daniel Ricciardo,STR Ferrari,+2.019s,19
20,19,Heikki Kovalainen,Caterham Renault,+3.171s,22
24,20,Timo Glock,Marussia Cosworth,+3.749s,19
25,21,Charles Pic,Marussia Cosworth,+3.906s,19
21,22,Vitaly Petrov,Caterham Renault,+4.131s,22
22,23,Pedro de la Rosa,HRT Cosworth,+4.424s,20
23,24,Narain Karthikeyan,HRT Cosworth,+4.902s,22
