,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Sebastian Vettel,Red Bull Racing Renault,54,1:43.964,192.320
5,2,Fernando Alonso,Ferrari,53,1:44.090,192.087
9,3,Kimi Räikkönen,Lotus Renault,50,1:44.458,191.410
3,4,Jenson Button,McLaren Mercedes,50,1:44.533,191.273
18,5,Pastor Maldonado,Williams Renault,55,1:44.833,190.726
7,6,Michael Schumacher,Mercedes,51,1:45.225,190.015
15,7,Sergio Perez,Sauber Ferrari,54,1:45.410,189.682
14,8,Kamui Kobayashi,Sauber Ferrari,55,1:45.423,189.658
11,9,Paul di Resta,Force India Mercedes,53,1:45.617,189.310
19,10,Bruno Senna,Williams Renault,49,1:45.693,189.174
6,11,Felipe Massa,Ferrari,53,1:45.700,189.161
16,12,Daniel Ricciardo,STR Ferrari,53,1:45.903,188.799
17,13,Jean-Eric Vergne,STR Ferrari,53,1:46.113,188.425
2,14,Mark Webber,Red Bull Racing Renault,32,1:46.959,186.935
20,15,Heikki Kovalainen,Caterham Renault,51,1:47.115,186.662
4,16,Lewis Hamilton,McLaren Mercedes,19,1:47.266,186.400
10,17,Romain Grosjean,Lotus Renault,36,1:47.521,185.958
24,18,Timo Glock,Marussia Cosworth,54,1:47.661,185.716
21,19,Vitaly Petrov,Caterham Renault,50,1:48.308,184.606
22,20,Pedro de la Rosa,HRT Cosworth,47,1:48.619,184.078
25,21,Charles Pic,Marussia Cosworth,33,1:49.079,183.302
8,22,Nico Rosberg,Mercedes,4,1:49.340,182.864
23,23,Narain Karthikeyan,HRT Cosworth,6,1:52.238,178.142
