,Position,Driver,Car,Laps,Time,Points
9,1,Kimi Räikkönen,Lotus Renault,55,1:45:58.667,25
5,2,Fernando Alonso,Ferrari,55,+0.852s,18
1,3,Sebastian Vettel,Red Bull Racing Renault,55,+4.163s,15
3,4,Jenson Button,McLaren Mercedes,55,+7.787s,12
18,5,Pastor Maldonado,Williams Renault,55,+13.007s,10
14,6,Kamui Kobayashi,Sauber Ferrari,55,+20.076s,8
6,7,Felipe Massa,Ferrari,55,+22.896s,6
19,8,Bruno Senna,Williams Renault,55,+23.542s,4
11,9,Paul di Resta,Force India Mercedes,55,+24.160s,2
16,10,Daniel Ricciardo,STR Ferrari,55,+27.463s,1
7,11,Michael Schumacher,Mercedes,55,+28.075s,0
17,12,Jean-Eric Vergne,STR Ferrari,55,+34.906s,0
20,13,Heikki Kovalainen,Caterham Renault,55,+47.764s,0
24,14,Timo Glock,Marussia Cosworth,55,+56.473s,0
15,15,Sergio Perez,Sauber Ferrari,55,+56.768s,0
21,16,Vitaly Petrov,Caterham Renault,55,+64.595s,0
22,17,Pedro de la Rosa,HRT Cosworth,55,+71.778s,0
25,NC,Charles Pic,Marussia Cosworth,41,DNF,0
10,NC,Romain Grosjean,Lotus Renault,37,DNF,0
2,NC,Mark Webber,Red Bull Racing Renault,37,DNF,0
4,NC,Lewis Hamilton,McLaren Mercedes,19,DNF,0
23,NC,Narain Karthikeyan,HRT Cosworth,7,DNF,0
8,NC,Nico Rosberg,Mercedes,7,DNF,0
12,NC,Nico Hulkenberg,Force India Mercedes,0,DNF,0
