,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:09.562,12
6,2,Juan Pablo Montoya,Williams BMW,1:09.686,12
5,3,Ralf Schumacher,Williams BMW,1:09.769,11
2,4,Rubens Barrichello,Ferrari,1:09.786,11
12,5,Jarno Trulli,Jordan Honda,1:10.202,11
16,6,Nick Heidfeld,Sauber Petronas,1:10.211,12
4,7,David Coulthard,McLaren Mercedes,1:10.331,12
3,8,Mika Hakkinen,McLaren Mercedes,1:10.342,11
17,9,Kimi Räikkönen,Sauber Petronas,1:10.396,12
9,10,Olivier Panis,BAR Honda,1:10.435,12
11,11,Heinz-Harald Frentzen,Jordan Honda,1:10.923,11
10,12,Jacques Villeneuve,BAR Honda,1:11.058,11
18,13,Eddie Irvine,Jaguar Cosworth,1:11.632,12
19,14,Pedro de la Rosa,Jaguar Cosworth,1:11.752,12
15,15,Enrique Bernoldi,Arrows Asiatech,1:11.823,12
14,16,Jos Verstappen,Arrows Asiatech,1:12.187,11
23,17,Luciano Burti,Prost Acer,1:12.206,12
21,18,Fernando Alonso,Minardi European,1:12.640,12
7,19,Giancarlo Fisichella,Benetton Renault,1:12.644,8
22,20,Jean Alesi,Prost Acer,1:12.910,10
8,21,Jenson Button,Benetton Renault,1:13.459,11
20,22,Tarso Marques,Minardi European,1:13.585,5
