,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:17.879,33
33,2,Max Verstappen,Red Bull Racing Honda,+0.048s,32
16,3,Charles Leclerc,Ferrari,+0.307s,27
44,4,Lewis Hamilton,Mercedes,+0.530s,28
10,5,Pierre Gasly,AlphaTauri Honda,+0.797s,30
31,6,Esteban Ocon,Renault,+0.926s,28
26,7,Daniil Kvyat,AlphaTauri Honda,+0.960s,31
4,8,Lando Norris,McLaren Renault,+1.102s,30
23,9,Alexander Albon,Red Bull Racing Honda,+1.189s,34
3,10,Daniel Ricciardo,Renault,+1.261s,25
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.340s,21
8,12,Romain Grosjean,Haas Ferrari,+1.345s,25
5,13,Sebastian Vettel,Ferrari,+1.388s,27
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.443s,28
55,15,Carlos Sainz,McLaren Renault,+1.578s,33
63,16,George Russell,Williams Mercedes,+1.599s,29
20,17,Kevin Magnussen,Haas Ferrari,+1.672s,25
18,18,Lance Stroll,Racing Point BWT Mercedes,+1.957s,23
11,19,Sergio Perez,Racing Point BWT Mercedes,+1.961s,29
6,20,Nicholas Latifi,Williams Mercedes,+2.155s,32
