,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:16.530,17
33,2,Max Verstappen,Red Bull Racing Honda,+0.017s,10
44,3,Lewis Hamilton,Mercedes,+0.083s,14
18,4,Lance Stroll,Racing Point BWT Mercedes,+0.582s,10
10,5,Pierre Gasly,AlphaTauri Honda,+0.696s,14
11,6,Sergio Perez,Racing Point BWT Mercedes,+0.811s,14
16,7,Charles Leclerc,Ferrari,+0.958s,15
23,8,Alexander Albon,Red Bull Racing Honda,+1.008s,11
26,9,Daniil Kvyat,AlphaTauri Honda,+1.097s,17
8,10,Romain Grosjean,Haas Ferrari,+1.105s,19
31,11,Esteban Ocon,Renault,+1.216s,13
55,12,Carlos Sainz,McLaren Renault,+1.238s,19
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.282s,15
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.313s,17
20,15,Kevin Magnussen,Haas Ferrari,+1.509s,17
6,16,Nicholas Latifi,Williams Mercedes,+1.542s,16
3,17,Daniel Ricciardo,Renault,+1.612s,12
5,18,Sebastian Vettel,Ferrari,+1.656s,15
4,19,Lando Norris,McLaren Renault,+2.296s,19
63,20,George Russell,Williams Mercedes,,1
