,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:16.989,28
44,2,Lewis Hamilton,Mercedes,+0.207s,29
33,3,Max Verstappen,Red Bull Racing Honda,+0.246s,25
23,4,Alexander Albon,Red Bull Racing Honda,+0.982s,28
3,5,Daniel Ricciardo,Renault,+1.050s,32
31,6,Esteban Ocon,Renault,+1.126s,29
11,7,Sergio Perez,Racing Point BWT Mercedes,+1.209s,34
10,8,Pierre Gasly,AlphaTauri Honda,+1.255s,30
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.396s,38
16,10,Charles Leclerc,Ferrari,+1.411s,27
18,11,Lance Stroll,Racing Point BWT Mercedes,+1.473s,37
5,12,Sebastian Vettel,Ferrari,+1.509s,39
55,13,Carlos Sainz,McLaren Renault,+1.662s,32
4,14,Lando Norris,McLaren Renault,+1.669s,9
26,15,Daniil Kvyat,AlphaTauri Honda,+1.747s,33
63,16,George Russell,Williams Mercedes,+1.854s,33
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.955s,35
6,18,Nicholas Latifi,Williams Mercedes,+1.994s,31
20,19,Kevin Magnussen,Haas Ferrari,+2.124s,32
8,20,Romain Grosjean,Haas Ferrari,+2.268s,5
