,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,59,2:19:35.060,26
77,2,Valtteri Bottas,Mercedes,59,+4.880s,18
23,3,Alexander Albon,Red Bull Racing Honda,59,+8.064s,15
3,4,Daniel Ricciardo,Renault,59,+10.417s,12
11,5,Sergio Perez,Racing Point BWT Mercedes,59,+15.650s,10
4,6,Lando Norris,McLaren Renault,59,+18.883s,8
26,7,Daniil Kvyat,AlphaTauri Honda,59,+21.756s,6
16,8,Charles Leclerc,Ferrari,59,+28.345s,4
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,59,+29.770s,2
5,10,Sebastian Vettel,Ferrari,59,+29.983s,1
63,11,George Russell,Williams Mercedes,59,+32.404s,0
8,12,Romain Grosjean,Haas Ferrari,59,+42.036s,0
18,NC,Lance Stroll,Racing Point BWT Mercedes,42,DNF,0
31,NC,Esteban Ocon,Renault,7,DNF,0
6,NC,Nicholas Latifi,Williams Mercedes,6,DNF,0
20,NC,Kevin Magnussen,Haas Ferrari,5,DNF,0
99,NC,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,5,DNF,0
55,NC,Carlos Sainz,McLaren Renault,5,DNF,0
33,NC,Max Verstappen,Red Bull Racing Honda,0,DNF,0
10,NC,Pierre Gasly,AlphaTauri Honda,0,DNF,0
