,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:15.778,1:15.309,1:15.144,14
77,2,Valtteri Bottas,Mercedes,1:15.749,1:15.322,1:15.203,11
33,3,Max Verstappen,Red Bull Racing Honda,1:16.335,1:15.471,1:15.509,12
23,4,Alexander Albon,Red Bull Racing Honda,1:16.527,1:15.914,1:15.954,14
16,5,Charles Leclerc,Ferrari,1:16.698,1:16.324,1:16.270,18
11,6,Sergio Perez,Racing Point BWT Mercedes,1:16.596,1:16.489,1:16.311,16
18,7,Lance Stroll,Racing Point BWT Mercedes,1:16.701,1:16.271,1:16.356,14
3,8,Daniel Ricciardo,Renault,1:16.981,1:16.243,1:16.543,14
55,9,Carlos Sainz,McLaren Renault,1:16.993,1:16.522,1:17.870,17
31,10,Esteban Ocon,Renault,1:16.825,1:16.297,DNF,14
4,11,Lando Norris,McLaren Renault,1:16.895,1:16.640,,12
26,12,Daniil Kvyat,AlphaTauri Honda,1:16.928,1:16.854,,11
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:17.059,1:16.854,,12
5,14,Sebastian Vettel,Ferrari,1:17.072,1:16.858,,12
8,15,Romain Grosjean,Haas Ferrari,1:17.069,1:17.254,,12
10,16,Pierre Gasly,AlphaTauri Honda,1:17.125,,,6
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:17.220,,,6
63,18,George Russell,Williams Mercedes,1:17.232,,,9
6,19,Nicholas Latifi,Williams Mercedes,1:17.320,,,9
20,20,Kevin Magnussen,Haas Ferrari,1:17.348,,,6
