,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
33,1,Max Verstappen,Red Bull Racing Honda,61,1:16.645,214.839,17:00:38
5,2,Sebastian Vettel,Ferrari,63,1:16.794,214.423,17:03:17
44,3,Lewis Hamilton,Mercedes,60,1:17.485,212.510,16:59:36
10,4,Pierre Gasly,Red Bull Racing Honda,56,1:17.495,212.483,16:52:27
99,5,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,62,1:17.507,212.450,17:02:07
26,6,Daniil Kvyat,Scuderia Toro Rosso Honda,61,1:17.708,211.900,17:00:41
7,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,55,1:17.746,211.797,16:51:12
18,8,Lance Stroll,Racing Point BWT Mercedes,61,1:17.831,211.566,17:00:42
55,9,Carlos Sainz,McLaren Renault,63,1:17.841,211.538,17:03:20
23,10,Alexander Albon,Scuderia Toro Rosso Honda,63,1:17.850,211.514,17:03:21
77,11,Valtteri Bottas,Mercedes,54,1:18.272,210.374,16:49:40
8,12,Romain Grosjean,Haas Ferrari,64,1:18.811,208.935,17:04:46
20,13,Kevin Magnussen,Haas Ferrari,63,1:19.062,208.271,17:03:29
63,14,George Russell,Williams Mercedes,60,1:19.300,207.646,16:59:35
88,15,Robert Kubica,Williams Mercedes,60,1:19.563,206.960,16:59:34
16,16,Charles Leclerc,Ferrari,17,1:27.697,187.764,15:47:59
27,17,Nico Hulkenberg,Renault,18,1:29.576,183.826,15:49:43
4,18,Lando Norris,McLaren Renault,16,1:31.081,180.788,15:47:14
3,19,Daniel Ricciardo,Renault,10,1:32.654,177.719,15:37:32
