,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:16.973,11
7,2,David Coulthard,McLaren Mercedes,1:17.131,11
3,3,Michael Schumacher,Ferrari,1:17.366,10
9,4,Damon Hill,Jordan Mugen Honda,1:18.214,12
4,5,Eddie Irvine,Ferrari,1:18.325,12
1,6,Jacques Villeneuve,Williams Mecachrome,1:18.337,12
2,7,Heinz-Harald Frentzen,Williams Mecachrome,1:19.029,12
5,8,Giancarlo Fisichella,Benetton Playlife,1:19.050,12
6,9,Alexander Wurz,Benetton Playlife,1:19.063,12
10,10,Ralf Schumacher,Jordan Mugen Honda,1:19.171,12
14,11,Jean Alesi,Sauber Petronas,1:19.210,12
16,12,Pedro Diniz,Arrows,1:19.706,12
17,13,Mika Salo,Arrows,1:19.712,12
18,14,Rubens Barrichello,Stewart Ford,1:19.876,11
15,15,Johnny Herbert,Sauber Petronas,1:19.878,11
12,16,Jarno Trulli,Prost Peugeot,1:20.042,12
19,17,Jos Verstappen,Stewart Ford,1:20.198,12
21,18,Toranosuke Takagi,Tyrrell Ford,1:20.354,12
22,19,Shinji Nakano,Minardi Ford,1:20.635,12
11,20,Olivier Panis,Prost Peugeot,1:20.663,12
23,21,Esteban Tuero,Minardi Ford,1:21.725,12
20,NC,Ricardo Rosset,Tyrrell Ford,1:23.140,11
