,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Michael Schumacher,Ferrari,60,1:19.286,180.349
1,2,Jacques Villeneuve,Williams Mecachrome,57,1:20.078,178.565
2,3,Heinz-Harald Frentzen,Williams Mecachrome,57,1:20.356,177.948
8,4,Mika Hakkinen,McLaren Mercedes,30,1:20.545,177.530
7,5,David Coulthard,McLaren Mercedes,28,1:20.546,177.528
9,6,Damon Hill,Jordan Mugen Honda,75,1:20.680,177.233
10,7,Ralf Schumacher,Jordan Mugen Honda,71,1:20.875,176.806
4,8,Eddie Irvine,Ferrari,11,1:20.984,176.568
5,9,Giancarlo Fisichella,Benetton Playlife,48,1:21.060,176.402
15,10,Johnny Herbert,Sauber Petronas,37,1:21.329,175.819
14,11,Jean Alesi,Sauber Petronas,35,1:21.439,175.581
6,12,Alexander Wurz,Benetton Playlife,48,1:21.479,175.495
21,13,Toranosuke Takagi,Tyrrell Ford,48,1:22.495,173.334
11,14,Olivier Panis,Prost Peugeot,17,1:22.538,173.243
18,15,Rubens Barrichello,Stewart Ford,50,1:23.294,171.671
12,16,Jarno Trulli,Prost Peugeot,25,1:23.318,171.621
16,17,Pedro Diniz,Arrows,43,1:23.429,171.393
22,18,Shinji Nakano,Minardi Ford,50,1:23.573,171.098
19,19,Jos Verstappen,Stewart Ford,48,1:23.644,170.953
17,20,Mika Salo,Arrows,18,1:23.716,170.806
23,21,Esteban Tuero,Minardi Ford,7,1:25.450,167.339
