,Position,Driver,Car,Laps,Time,Points
8,1,Niki Lauda,McLaren Ford,75,1:58:25.318,9
6,2,Keke Rosberg,Williams Ford,75,+14.660s,6
27,DQ,Gilles Villeneuve,Ferrari,75,DSQ,0
2,3,Riccardo Patrese,Brabham Ford,75,+79.140s,4
3,4,Michele Alboreto,Tyrrell Ford,75,+80.950s,3
11,5,Elio de Angelis,Lotus Ford,74,+1 lap,2
7,6,John Watson,McLaren Ford,74,+1 lap,1
12,7,Nigel Mansell,Lotus Ford,73,+2 laps,0
17,8,Jochen Mass,March Ford,73,+2 laps,0
18,9,Raul Boesel,March Ford,70,+5 laps,0
4,10,Slim Borgudd,Tyrrell Ford,68,+7 laps,0
25,NC,Eddie  Cheever,Ligier Matra,59,DNF,0
22,NC,Andrea de Cesaris,Alfa Romeo,33,DNF,0
29,NC,Brian Henton,Arrows Ford,32,DNF,0
14,NC,Roberto Guerrero,Ensign Ford,27,DNF,0
26,NC,Jacques Laffite,Ligier Matra,26,DNF,0
31,NC,Jean-Pierre Jarier,Osella Ford,26,DNF,0
1,NC,Nelson Piquet,Brabham Ford,25,DNF,0
33,NC,Derek Daly,Theodore Ford,23,DNF,0
5,NC,Mario Andretti,Williams Ford,19,DNF,0
15,NC,Alain Prost,Renault,10,DNF,0
28,NC,Didier Pironi,Ferrari,6,DNF,0
16,NC,Rene Arnoux,Renault,5,DNF,0
23,NC,Bruno Giacomelli,Alfa Romeo,5,DNF,0
10,NC,Eliseo Salazar,ATS Ford,3,DNF,0
9,NC,Manfred Winkelhock,ATS Ford,1,DNF,0
