,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Fernando Alonso,Renault,1:21.018,1:20.271,1:20.253,24
3,2,Kimi Räikkönen,McLaren Mercedes,1:21.648,1:20.497,1:20.397,24
5,3,Michael Schumacher,Ferrari,1:22.096,1:20.659,1:20.574,22
6,4,Felipe Massa,Ferrari,1:21.647,1:20.846,1:20.764,21
2,5,Giancarlo Fisichella,Renault,1:22.411,1:20.594,1:20.919,21
11,6,Rubens Barrichello,Honda,1:22.965,1:20.929,1:20.943,24
7,7,Ralf Schumacher,Toyota,1:22.886,1:21.043,1:21.073,28
4,8,Juan Pablo Montoya,McLaren Mercedes,1:22.169,1:20.816,1:21.107,23
16,9,Nick Heidfeld,Sauber BMW,1:21.670,1:20.629,1:21.329,28
17,10,Jacques Villeneuve,Sauber BMW,1:21.637,1:20.672,1:21.599,21
14,11,David Coulthard,RBR Ferrari,1:22.424,1:21.442,,12
10,12,Nico Rosberg,Williams Cosworth,1:23.083,1:21.567,,9
20,13,Vitantonio Liuzzi,STR Cosworth,1:22.685,1:21.699,,13
15,14,Christian Klien,RBR Ferrari,1:22.773,1:21.990,,12
21,15,Scott Speed,STR Cosworth,1:22.541,1:22.076,,11
18,16,Tiago Monteiro,MF1 Toyota,1:22.860,1:22.207,,10
9,17,Mark Webber,Williams Cosworth,1:23.129,,,3
19,18,Christijan Albers,MF1 Toyota,1:23.210,,,7
12,19,Jenson Button,Honda,1:23.247,,,3
22,20,Takuma Sato,Super Aguri Honda,1:26.158,,,6
23,21,Franck Montagny,Super Aguri Honda,1:26.316,,,6
8,22,Jarno Trulli,Toyota,DNF,,,2
