,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Mika Hakkinen,McLaren Mercedes,60,1:26.523,205.249
3,2,Michael Schumacher,Ferrari,58,1:26.774,204.655
2,3,David Coulthard,McLaren Mercedes,54,1:27.014,204.091
9,4,Ralf Schumacher,Williams BMW,45,1:27.339,203.331
16,5,Pedro Diniz,Sauber Petronas,61,1:27.814,202.231
4,6,Rubens Barrichello,Ferrari,46,1:27.899,202.036
17,7,Mika Salo,Sauber Petronas,40,1:28.336,201.036
7,8,Eddie Irvine,Jaguar Cosworth,60,1:28.387,200.920
6,9,Jarno Trulli,Jordan Mugen Honda,57,1:28.754,200.090
23,10,Ricardo Zonta,BAR Honda,28,1:28.787,200.015
22,11,Jacques Villeneuve,BAR Honda,39,1:28.816,199.950
19,12,Jos Verstappen,Arrows Supertec,54,1:28.842,199.891
11,13,Giancarlo Fisichella,Benetton Playlife,59,1:28.884,199.797
8,14,Johnny Herbert,Jaguar Cosworth,59,1:29.049,199.427
12,15,Alexander Wurz,Benetton Playlife,55,1:29.180,199.134
15,16,Nick Heidfeld,Prost Peugeot,16,1:29.350,198.755
18,17,Pedro de la Rosa,Arrows Supertec,42,1:29.370,198.710
14,18,Jean Alesi,Prost Peugeot,17,1:29.719,197.938
21,19,Gaston Mazzacane,Minardi Fondmetal,15,1:30.030,197.254
5,20,Heinz-Harald Frentzen,Jordan Mugen Honda,3,1:31.503,194.078
20,21,Marc Gene,Minardi Fondmetal,5,1:31.524,194.034
10,22,Jenson Button,Williams BMW,4,1:31.912,193.215
