,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,74,1:21.598
20,2,Martin Brundle,Benetton Ford,48,1:23.406
1,3,Ayrton Senna,McLaren Honda,49,1:23.470
19,4,Michael Schumacher,Benetton Ford,32,1:23.868
6,5,Riccardo Patrese,Williams Renault,37,1:24.080
2,6,Gerhard Berger,McLaren Honda,30,1:24.172
27,7,Jean Alesi,Ferrari,25,1:24.827
29,8,Bertrand Gachot,Venturi Lamborghini,43,1:24.932
9,9,Michele Alboreto,Footwork Mugen Honda,49,1:25.004
28,10,Ivan Capelli,Ferrari,28,1:25.032
21,11,Jyrki Jarvilehto,Dallara Ferrari,55,1:25.390
23,12,Christian Fittipaldi,Minardi Lamborghini,40,1:25.594
11,13,Mika Hakkinen,Lotus Ford,12,1:25.871
10,14,Aguri Suzuki,Footwork Mugen Honda,50,1:25.909
26,15,Erik Comas,Ligier Renault,50,1:26.002
12,16,Johnny Herbert,Lotus Ford,16,1:26.005
25,17,Thierry Boutsen,Ligier Renault,16,1:26.320
33,18,Mauricio Gugelmin,Jordan Yamaha,9,1:26.863
4,19,Andrea de Cesaris,Tyrrell Ilmor,7,1:26.916
32,20,Stefano Modena,Jordan Yamaha,6,1:28.149
3,21,Olivier Grouillard,Tyrrell Ilmor,4,1:28.590
34,22,Roberto Moreno,Moda Judd,11,1:30.344
15,23,Gabriele Tarquini,Fondmetal Ford,8,1:30.718
16,24,Karl Wendlinger,March Ilmor,1,1:44.613
24,25,Gianni Morbidelli,Minardi Lamborghini,1,5:34.500
