,Position,Driver,Car,Time
17,1,Jean-Pierre Jarier,Shadow Matra,1:49.210
8,2,Carlos Pace,Brabham Ford,1:49.640
7,3,Carlos Reutemann,Brabham Ford,1:49.800
12,4,Niki Lauda,Ferrari,1:49.960
1,5,Emerson Fittipaldi,McLaren Ford,1:50.020
24,6,James Hunt,Hesketh Ford,1:50.260
11,7,Clay Regazzoni,Ferrari,1:50.710
4,8,Patrick Depailler,Tyrrell Ford,1:50.800
3,9,Jody Scheckter,Tyrrell Ford,1:50.820
27,10,Mario Andretti,Parnelli Ford,1:51.060
5,11,Ronnie Peterson,Lotus Ford,1:51.440
9,12,Vittorio Brambilla,March Ford,1:51.770
2,13,Jochen Mass,McLaren Ford,1:51.820
16,14,Tom Pryce,Shadow Matra,1:51.920
18,15,John Watson,Surtees Ford,1:52.130
28,16,Mark Donohue,March Ford,1:52.360
21,17,Jacques Laffite,Frank Williams Racing Cars/Williams,1:52.880
6,18,Jacky Ickx,Lotus Ford,1:52.900
23,19,Rolf Stommelen,Lola Ford,1:53.120
20,20,Arturo Merzario,Frank Williams Racing Cars/Williams,1:53.430
22,21,Graham Hill,Lola Ford,1:54.000
14,22,Mike Wilds,BRM,1:54.480
30,23,Wilson Fittipaldi,Fittipaldi Ford,2:00.220
