,Position,Driver,Car,Laps,Time,Points
3,1,Michael Schumacher,Ferrari,71,1:31:35.271,10
11,2,Giancarlo Fisichella,Benetton Playlife,71,+39.898s,6
5,3,Heinz-Harald Frentzen,Jordan Mugen Honda,71,+42.268s,4
6,4,Jarno Trulli,Jordan Mugen Honda,71,+72.780s,3
9,5,Ralf Schumacher,Williams BMW,70,+1 lap,2
10,6,Jenson Button,Williams BMW,70,+1 lap,1
19,7,Jos Verstappen,Arrows Supertec,70,+1 lap,0
18,8,Pedro de la Rosa,Arrows Supertec,70,+1 lap,0
23,9,Ricardo Zonta,BAR Honda,69,+2 laps,0
21,10,Gaston Mazzacane,Minardi Fondmetal,69,+2 laps,0
8,NC,Johnny Herbert,Jaguar Cosworth,51,DNF,0
20,NC,Marc Gene,Minardi Fondmetal,31,DNF,0
1,NC,Mika Hakkinen,McLaren Mercedes,30,DNF,0
4,NC,Rubens Barrichello,Ferrari,27,DNF,0
7,NC,Eddie Irvine,Jaguar Cosworth,20,DNF,0
22,NC,Jacques Villeneuve,BAR Honda,16,DNF,0
14,NC,Jean Alesi,Prost Peugeot,11,DNF,0
15,NC,Nick Heidfeld,Prost Peugeot,9,DNF,0
12,NC,Alexander Wurz,Benetton Playlife,6,DNF,0
