,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:24.772
5,2,Nigel Mansell,Williams Judd,+0.211s
11,3,Alain Prost,McLaren Honda,+0.268s
6,4,Riccardo Patrese,Williams Judd,+0.594s
1,5,Nelson Piquet,Lotus Honda,+0.981s
16,6,Ivan Capelli,March Judd,+1.271s
14,7,Philippe Streiff,AGS Ford,+1.469s
15,8,Mauricio Gugelmin,March Judd,+1.551s
2,9,Satoru Nakajima,Lotus Honda,+1.653s
28,10,Gerhard Berger,Ferrari,+1.906s
23,11,Pierluigi Martini,Minardi Ford,+2.194s
26,12,Stefan Johansson,Ligier Judd,+2.527s
18,13,Eddie  Cheever,Arrows Megatron,+2.596s
17,14,Derek Warwick,Arrows Megatron,+2.599s
36,15,Alex Caffi,Dallara Ford,+2.807s
20,16,Thierry Boutsen,Benetton Ford,+2.837s
25,17,Rene Arnoux,Ligier Judd,+2.942s
29,18,Yannick Dalmas,Lola Ford,+3.019s
30,19,Philippe Alliot,Lola Ford,+3.078s
27,20,Michele Alboreto,Ferrari,+3.105s
21,21,Nicola Larini,Osella,+3.331s
19,22,Alessandro Nannini,Benetton Ford,+3.537s
24,23,Luis Perez-Sala,Minardi Ford,+3.702s
10,24,Bernd Schneider,Zakspeed,+3.828s
4,25,Julian Bailey,Tyrrell Ford,+4.164s
3,26,Jonathan  Palmer,Tyrrell Ford,+4.399s
32,27,Oscar Larrauri,Euro Brun Ford,+4.421s
9,28,Piercarlo Ghinzani,Zakspeed,+4.928s
33,29,Stefano Modena,Euro Brun Ford,+5.065s
22,30,Andrea de Cesaris,Rial Ford,+5.085s
