,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Judd,1:24.722
6,2,Riccardo Patrese,Williams Judd,+1.479s
11,3,Alain Prost,McLaren Honda,+2.261s
12,4,Ayrton Senna,McLaren Honda,+2.501s
16,5,Ivan Capelli,March Judd,+2.555s
20,6,Thierry Boutsen,Benetton Ford,+2.866s
28,7,Gerhard Berger,Ferrari,+3.012s
19,8,Alessandro Nannini,Benetton Ford,+3.044s
15,9,Mauricio Gugelmin,March Judd,+3.352s
27,10,Michele Alboreto,Ferrari,+3.588s
36,11,Alex Caffi,Dallara Ford,+3.656s
25,12,Rene Arnoux,Ligier Judd,+3.663s
30,13,Philippe Alliot,Lola Ford,+3.719s
26,14,Stefan Johansson,Ligier Judd,+3.822s
1,15,Nelson Piquet,Lotus Honda,+4.157s
22,16,Andrea de Cesaris,Rial Ford,+4.190s
18,17,Eddie  Cheever,Arrows Megatron,+4.421s
21,18,Nicola Larini,Osella,+4.571s
23,19,Pierluigi Martini,Minardi Ford,+4.588s
17,20,Derek Warwick,Arrows Megatron,+4.652s
2,21,Satoru Nakajima,Lotus Honda,+4.931s
14,22,Philippe Streiff,AGS Ford,+5.210s
32,23,Oscar Larrauri,Euro Brun Ford,+5.281s
29,24,Yannick Dalmas,Lola Ford,+5.299s
33,25,Stefano Modena,Euro Brun Ford,+5.697s
31,26,Gabriele Tarquini,Coloni Ford,+5.737s
3,27,Jonathan  Palmer,Tyrrell Ford,+5.924s
24,28,Luis Perez-Sala,Minardi Ford,+5.937s
9,29,Piercarlo Ghinzani,Zakspeed,+7.051s
4,30,Julian Bailey,Tyrrell Ford,+7.189s
10,31,Bernd Schneider,Zakspeed,+7.673s
