,Position,Driver,Car,Lap,Time
11,1,Alain Prost,McLaren Honda,60,1:27.845
5,2,Nigel Mansell,Williams Judd,57,1:27.999
12,3,Ayrton Senna,McLaren Honda,60,1:28.273
19,4,Alessandro Nannini,Benetton Ford,31,1:28.576
20,5,Thierry Boutsen,Benetton Ford,54,1:28.711
28,6,Gerhard Berger,Ferrari,70,1:28.716
6,7,Riccardo Patrese,Williams Judd,71,1:28.861
16,8,Ivan Capelli,March Judd,40,1:29.197
1,9,Nelson Piquet,Lotus Honda,67,1:29.304
15,10,Mauricio Gugelmin,March Judd,40,1:29.890
36,11,Alex Caffi,Dallara Ford,54,1:30.039
18,12,Eddie  Cheever,Arrows Megatron,45,1:30.186
22,13,Andrea de Cesaris,Rial Ford,21,1:30.363
30,14,Philippe Alliot,Lola Ford,63,1:30.366
17,15,Derek Warwick,Arrows Megatron,29,1:30.390
29,16,Yannick Dalmas,Lola Ford,29,1:31.063
24,17,Luis Perez-Sala,Minardi Ford,41,1:31.246
27,18,Michele Alboreto,Ferrari,10,1:31.310
26,19,Stefan Johansson,Ligier Judd,48,1:31.511
14,20,Philippe Streiff,AGS Ford,15,1:31.853
23,21,Pierluigi Martini,Minardi Ford,14,1:32.017
33,22,Stefano Modena,Euro Brun Ford,36,1:32.263
2,23,Satoru Nakajima,Lotus Honda,13,1:32.296
21,24,Nicola Larini,Osella,4,1:32.303
3,25,Jonathan  Palmer,Tyrrell Ford,2,1:32.315
