,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,14,1:21.832,254.848
6,2,Kimi Räikkönen,McLaren Mercedes,32,1:22.032,254.227
3,3,Juan Pablo Montoya,Williams BMW,31,1:22.126,253.936
2,4,Rubens Barrichello,Ferrari,13,1:22.171,253.797
4,5,Marc Gene,Williams BMW,12,1:22.413,253.052
5,6,David Coulthard,McLaren Mercedes,10,1:22.427,253.009
16,7,Jacques Villeneuve,BAR Honda,13,1:23.039,251.144
8,8,Fernando Alonso,Renault,47,1:23.195,250.673
17,9,Jenson Button,BAR Honda,13,1:23.225,250.583
20,10,Olivier Panis,Toyota,10,1:23.303,250.348
10,11,Heinz-Harald Frentzen,Sauber Petronas,14,1:23.518,249.704
14,12,Mark Webber,Jaguar Cosworth,10,1:23.778,248.929
9,13,Nick Heidfeld,Sauber Petronas,9,1:24.225,247.608
11,14,Giancarlo Fisichella,Jordan Ford,52,1:25.133,244.967
12,15,Zsolt Baumgartner,Jordan Ford,38,1:25.549,243.776
19,16,Jos Verstappen,Minardi Cosworth,22,1:25.816,243.017
18,17,Nicolas Kiesa,Minardi Cosworth,49,1:26.127,242.140
21,18,Cristiano da Matta,Toyota,3,1:26.148,242.081
15,19,Justin Wilson,Jaguar Cosworth,2,1:59.265,174.861
