,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:20.963,3
3,2,Juan Pablo Montoya,Williams BMW,1:21.014,3
2,3,Rubens Barrichello,Ferrari,1:21.242,3
6,4,Kimi Räikkönen,McLaren Mercedes,1:21.466,3
4,5,Marc Gene,Williams BMW,1:21.834,3
7,6,Jarno Trulli,Renault,1:21.944,3
17,7,Jenson Button,BAR Honda,1:22.301,3
5,8,David Coulthard,McLaren Mercedes,1:22.471,3
20,9,Olivier Panis,Toyota,1:22.488,3
16,10,Jacques Villeneuve,BAR Honda,1:22.717,3
14,11,Mark Webber,Jaguar Cosworth,1:22.754,3
21,12,Cristiano da Matta,Toyota,1:22.914,3
11,13,Giancarlo Fisichella,Jordan Ford,1:22.992,3
10,14,Heinz-Harald Frentzen,Sauber Petronas,1:23.216,3
15,15,Justin Wilson,Jaguar Cosworth,1:23.484,3
9,16,Nick Heidfeld,Sauber Petronas,1:23.803,3
19,17,Jos Verstappen,Minardi Cosworth,1:25.078,3
12,18,Zsolt Baumgartner,Jordan Ford,1:25.881,3
18,19,Nicolas Kiesa,Minardi Cosworth,1:26.778,3
8,20,Fernando Alonso,Renault,1:40.405,3
