,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,63,1:18.750,212.708,14:39:08
77,2,Valtteri Bottas,Mercedes,66,1:19.345,211.113,14:43:33
4,3,Lando Norris,McLaren Renault,65,1:19.360,211.073,14:43:58
33,4,Max Verstappen,Red Bull Racing Honda,62,1:19.854,209.767,14:38:20
23,5,Alexander Albon,Red Bull Racing Honda,61,1:19.890,209.673,14:38:22
55,6,Carlos Sainz,McLaren Renault,65,1:20.268,208.685,14:43:25
16,7,Charles Leclerc,Ferrari,66,1:20.408,208.322,14:44:12
26,8,Daniil Kvyat,AlphaTauri Honda,59,1:20.449,208.216,14:36:48
10,9,Pierre Gasly,AlphaTauri Honda,65,1:20.551,207.952,14:43:24
5,10,Sebastian Vettel,Ferrari,62,1:20.731,207.489,14:39:27
11,11,Sergio Perez,Racing Point BWT Mercedes,49,1:20.802,207.306,14:21:39
31,12,Esteban Ocon,Renault,61,1:20.859,207.160,14:38:04
63,13,George Russell,Williams Mercedes,62,1:20.882,207.101,14:40:02
3,14,Daniel Ricciardo,Renault,61,1:20.906,207.040,14:38:05
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,60,1:21.058,206.652,14:36:47
20,16,Kevin Magnussen,Haas Ferrari,63,1:21.460,205.632,14:41:37
8,17,Romain Grosjean,Haas Ferrari,59,1:21.664,205.118,14:36:06
18,18,Lance Stroll,Racing Point BWT Mercedes,45,1:21.694,205.043,14:17:27
6,19,Nicholas Latifi,Williams Mercedes,53,1:21.859,204.629,14:28:03
99,20,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,46,1:21.893,204.544,14:18:07
