,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:16.828,1:16.824,1:16.652,21
77,2,Valtteri Bottas,Mercedes,1:16.945,1:16.466,1:16.754,17
33,3,Max Verstappen,Red Bull Racing Honda,1:16.879,1:17.038,1:16.904,23
16,4,Charles Leclerc,Ferrari,1:17.421,1:17.367,1:17.090,23
11,5,Sergio Perez,Racing Point BWT Mercedes,1:17.370,1:17.129,1:17.223,21
23,6,Alexander Albon,Red Bull Racing Honda,1:17.435,1:17.411,1:17.437,29
55,7,Carlos Sainz,McLaren Renault,1:17.627,1:17.183,1:17.520,24
4,8,Lando Norris,McLaren Renault,1:17.547,1:17.321,1:17.525,24
10,9,Pierre Gasly,AlphaTauri Honda,1:17.209,1:17.367,1:17.803,26
3,10,Daniel Ricciardo,Renault,1:17.621,1:17.481,,17
31,11,Esteban Ocon,Renault,1:17.775,1:17.614,,18
18,12,Lance Stroll,Racing Point BWT Mercedes,1:17.667,1:17.626,,22
26,13,Daniil Kvyat,AlphaTauri Honda,1:17.841,1:17.728,,22
63,14,George Russell,Williams Mercedes,1:17.931,1:17.788,,17
5,15,Sebastian Vettel,Ferrari,1:17.446,1:17.919,,20
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:18.201,,,12
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:18.323,,,12
8,18,Romain Grosjean,Haas Ferrari,1:18.364,,,12
20,19,Kevin Magnussen,Haas Ferrari,1:18.508,,,10
6,20,Nicholas Latifi,Williams Mercedes,1:18.777,,,11
