,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:17.940,32
33,2,Max Verstappen,Red Bull Racing Honda,+0.595s,34
4,3,Lando Norris,McLaren Renault,+0.803s,35
16,4,Charles Leclerc,Ferrari,+0.898s,34
55,5,Carlos Sainz,McLaren Renault,+1.173s,32
5,6,Sebastian Vettel,Ferrari,+1.235s,34
10,7,Pierre Gasly,AlphaTauri Honda,+1.238s,26
44,8,Lewis Hamilton,Mercedes,+1.368s,27
31,9,Esteban Ocon,Renault,+1.556s,32
23,10,Alexander Albon,Red Bull Racing Honda,+1.703s,37
63,11,George Russell,Williams Mercedes,+1.881s,33
11,12,Sergio Perez,Racing Point BWT Mercedes,+1.961s,34
3,13,Daniel Ricciardo,Renault,+2.047s,28
6,14,Nicholas Latifi,Williams Mercedes,+2.525s,33
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+2.550s,34
20,16,Kevin Magnussen,Haas Ferrari,+2.740s,29
26,17,Daniil Kvyat,AlphaTauri Honda,+2.789s,33
8,18,Romain Grosjean,Haas Ferrari,+2.927s,32
18,19,Lance Stroll,Racing Point BWT Mercedes,+3.043s,26
99,20,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+3.456s,34
