,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:48.682,11
7,2,David Coulthard,McLaren Mercedes,1:48.845,12
9,3,Damon Hill,Jordan Mugen Honda,1:49.728,11
3,4,Michael Schumacher,Ferrari,1:50.027,12
4,5,Eddie Irvine,Ferrari,1:50.189,12
1,6,Jacques Villeneuve,Williams Mecachrome,1:50.204,12
5,7,Giancarlo Fisichella,Benetton Playlife,1:50.462,12
10,8,Ralf Schumacher,Jordan Mugen Honda,1:50.501,12
2,9,Heinz-Harald Frentzen,Williams Mecachrome,1:50.686,11
14,10,Jean Alesi,Sauber Petronas,1:51.189,11
6,11,Alexander Wurz,Benetton Playlife,1:51.648,12
15,12,Johnny Herbert,Sauber Petronas,1:51.851,11
12,13,Jarno Trulli,Prost Peugeot,1:52.572,10
18,14,Rubens Barrichello,Stewart Ford,1:52.670,12
11,15,Olivier Panis,Prost Peugeot,1:52.784,12
16,16,Pedro Diniz,Arrows,1:53.037,12
19,17,Jos Verstappen,Stewart Ford,1:53.149,12
17,18,Mika Salo,Arrows,1:53.207,8
21,19,Toranosuke Takagi,Tyrrell Ford,1:53.237,12
20,20,Ricardo Rosset,Tyrrell Ford,1:54.850,11
22,21,Shinji Nakano,Minardi Ford,1:55.084,12
23,22,Esteban Tuero,Minardi Ford,1:55.520,12
