,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:16.588,1:15.864,1:15.098,28
6,2,Nico Rosberg,Mercedes,1:16.528,1:15.471,1:15.440,25
5,3,Sebastian Vettel,Ferrari,1:17.502,1:16.181,1:15.849,24
3,4,Daniel Ricciardo,Red Bull Racing Renault,1:17.254,1:16.706,1:16.041,28
26,5,Daniil Kvyat,Red Bull Racing Renault,1:16.845,1:16.453,1:16.182,26
7,6,Kimi Räikkönen,Ferrari,1:17.660,1:16.440,1:16.427,23
11,7,Sergio Perez,Force India Mercedes,1:17.376,1:16.999,1:16.808,22
55,8,Carlos Sainz,STR Renault,1:17.246,1:16.762,1:16.931,29
13,9,Pastor Maldonado,Lotus Mercedes,1:17.630,1:16.775,1:16.946,30
33,10,Max Verstappen,STR Renault,1:16.750,1:16.546,1:16.957,29
8,11,Romain Grosjean,Lotus Mercedes,1:17.767,1:17.007,,22
22,12,Jenson Button,McLaren Honda,1:17.492,1:17.093,,20
27,13,Nico Hulkenberg,Force India Mercedes,1:17.552,1:17.193,,16
19,14,Felipe Massa,Williams Mercedes,1:17.679,1:17.278,,22
14,15,Fernando Alonso,McLaren Honda,1:17.778,1:26.632,,11
12,16,Felipe Nasr,Sauber Ferrari,1:18.101,,,11
77,17,Valtteri Bottas,Williams Mercedes,1:18.434,,,10
9,18,Marcus Ericsson,Sauber Ferrari,1:18.513,,,11
28,19,Will Stevens,Marussia Ferrari,1:20.655,,,9
98,20,Roberto Merhi,Marussia Ferrari,1:20.904,,,10
