,Position,Driver,Car,Laps,Time,Points
6,1,Nico Rosberg,Mercedes,78,1:49:18.420,25
5,2,Sebastian Vettel,Ferrari,78,+4.486s,18
44,3,Lewis Hamilton,Mercedes,78,+6.053s,15
26,4,Daniil Kvyat,Red Bull Racing Renault,78,+11.965s,12
3,5,Daniel Ricciardo,Red Bull Racing Renault,78,+13.608s,10
7,6,Kimi Räikkönen,Ferrari,78,+14.345s,8
11,7,Sergio Perez,Force India Mercedes,78,+15.013s,6
22,8,Jenson Button,McLaren Honda,78,+16.063s,4
12,9,Felipe Nasr,Sauber Ferrari,78,+23.626s,2
55,10,Carlos Sainz,STR Renault,78,+25.056s,1
27,11,Nico Hulkenberg,Force India Mercedes,78,+26.232s,0
8,12,Romain Grosjean,Lotus Mercedes,78,+28.415s,0
9,13,Marcus Ericsson,Sauber Ferrari,78,+31.159s,0
77,14,Valtteri Bottas,Williams Mercedes,78,+45.789s,0
19,15,Felipe Massa,Williams Mercedes,77,+1 lap,0
98,16,Roberto Merhi,Marussia Ferrari,76,+2 laps,0
28,17,Will Stevens,Marussia Ferrari,76,+2 laps,0
33,NC,Max Verstappen,STR Renault,62,DNF,0
14,NC,Fernando Alonso,McLaren Honda,41,DNF,0
13,NC,Pastor Maldonado,Lotus Mercedes,5,DNF,0
