,Position,Driver,Car,Laps,Time,Points
28,1,Didier Pironi,Ferrari,60,1:36:38.887,9
27,2,Gilles Villeneuve,Ferrari,60,+0.370s,6
3,3,Michele Alboreto,Tyrrell Ford,60,+67.680s,4
31,4,Jean-Pierre Jarier,Osella Ford,59,+1 lap,3
10,5,Eliseo Salazar,ATS Ford,57,+3 laps,2
9,DQ,Manfred Winkelhock,ATS Ford,54,DSQ,0
36,NC,Teo Fabi,Toleman Hart,52,+8 laps,0
16,NC,Rene Arnoux,Renault,44,DNF,0
23,NC,Bruno Giacomelli,Alfa Romeo,24,DNF,0
32,NC,Riccardo Paletti,Osella Ford,7,DNF,0
15,NC,Alain Prost,Renault,6,DNF,0
22,NC,Andrea de Cesaris,Alfa Romeo,4,DNF,0
4,NC,Brian Henton,Tyrrell Ford,0,DNF,0
