,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:29.925
7,2,Martin Brundle,Brabham Judd,+1.497s
36,3,Stefan Johansson,Onyx Ford,+1.734s
23,4,Pierluigi Martini,Minardi Ford,+1.870s
27,5,Nigel Mansell,Ferrari,+2.028s
19,6,Alessandro Nannini,Benetton Ford,+2.069s
28,7,Gerhard Berger,Ferrari,+2.095s
4,8,Michele Alboreto,Tyrrell Ford,+2.144s
5,9,Thierry Boutsen,Williams Renault,+2.170s
8,10,Stefano Modena,Brabham Judd,+2.381s
20,11,Johnny Herbert,Benetton Ford,+3.036s
26,12,Olivier Grouillard,Ligier Ford,+3.102s
10,13,Eddie  Cheever,Arrows Ford,+3.253s
2,14,Alain Prost,McLaren Honda,+3.269s
22,15,Andrea de Cesaris,Dallara Ford,+3.425s
11,16,Nelson Piquet,Lotus Judd,+3.578s
24,17,Luis Perez-Sala,Minardi Ford,+3.608s
21,18,Alex Caffi,Dallara Ford,+3.758s
6,19,Riccardo Patrese,Williams Renault,+3.822s
12,20,Satoru Nakajima,Lotus Judd,+3.834s
25,21,Rene Arnoux,Ligier Ford,+4.000s
40,22,Gabriele Tarquini,AGS Ford,+4.046s
30,23,Philippe Alliot,Lola Lamborghini,+4.097s
16,24,Ivan Capelli,March Judd,+4.281s
9,25,Derek Warwick,Arrows Ford,+4.311s
29,26,Yannick Dalmas,Lola Lamborghini,+4.442s
15,27,Mauricio Gugelmin,March Judd,+4.534s
38,28,Christian Danner,Rial Ford,+5.279s
3,29,Jonathan  Palmer,Tyrrell Ford,+5.441s
31,30,Roberto Moreno,Coloni Ford,+6.191s
