,Position,Driver,Car,Lap,Time
1,1,Ayrton Senna,McLaren Honda,38,1:33.969
2,2,Alain Prost,McLaren Honda,32,1:34.957
22,3,Andrea de Cesaris,Dallara Ford,64,1:35.155
27,4,Nigel Mansell,Ferrari,24,1:35.168
21,5,Alex Caffi,Dallara Ford,50,1:35.291
3,6,Jonathan  Palmer,Tyrrell Ford,50,1:35.349
36,7,Stefan Johansson,Onyx Ford,49,1:35.435
5,8,Thierry Boutsen,Williams Renault,61,1:35.526
10,9,Eddie  Cheever,Arrows Ford,64,1:35.650
11,10,Nelson Piquet,Lotus Judd,48,1:35.837
28,11,Gerhard Berger,Ferrari,33,1:35.930
6,12,Riccardo Patrese,Williams Renault,63,1:35.973
4,13,Michele Alboreto,Tyrrell Ford,17,1:36.140
8,14,Stefano Modena,Brabham Judd,19,1:36.213
7,15,Martin Brundle,Brabham Judd,19,1:36.391
16,16,Ivan Capelli,March Judd,19,1:36.722
38,17,Christian Danner,Rial Ford,61,1:36.901
19,18,Alessandro Nannini,Benetton Ford,3,1:37.134
40,19,Gabriele Tarquini,AGS Ford,68,1:37.216
20,20,Johnny Herbert,Benetton Ford,49,1:37.287
12,21,Satoru Nakajima,Lotus Judd,22,1:37.415
23,22,Pierluigi Martini,Minardi Ford,16,1:38.135
9,23,Derek Warwick,Arrows Ford,3,1:38.223
30,24,Philippe Alliot,Lola Lamborghini,3,1:38.690
15,25,Mauricio Gugelmin,March Judd,6,1:38.762
24,26,Luis Perez-Sala,Minardi Ford,39,1:39.506
