,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:31.272
7,2,Martin Brundle,Brabham Judd,+0.842s
2,3,Alain Prost,McLaren Honda,+0.906s
27,4,Nigel Mansell,Ferrari,+1.439s
19,5,Alessandro Nannini,Benetton Ford,+1.480s
21,6,Alex Caffi,Dallara Ford,+1.716s
30,7,Philippe Alliot,Lola Lamborghini,+2.203s
9,8,Derek Warwick,Arrows Ford,+2.250s
3,9,Jonathan  Palmer,Tyrrell Ford,+2.515s
22,10,Andrea de Cesaris,Dallara Ford,+3.295s
23,11,Pierluigi Martini,Minardi Ford,+3.316s
4,12,Michele Alboreto,Tyrrell Ford,+3.333s
12,13,Satoru Nakajima,Lotus Judd,+3.635s
20,14,Johnny Herbert,Benetton Ford,+3.660s
10,15,Eddie  Cheever,Arrows Ford,+3.710s
40,16,Gabriele Tarquini,AGS Ford,+3.740s
38,17,Christian Danner,Rial Ford,+3.919s
11,18,Nelson Piquet,Lotus Judd,+4.096s
31,19,Roberto Moreno,Coloni Ford,+4.614s
6,20,Riccardo Patrese,Williams Renault,+4.685s
26,21,Olivier Grouillard,Ligier Ford,+5.113s
29,22,Yannick Dalmas,Lola Lamborghini,+5.247s
24,23,Luis Perez-Sala,Minardi Ford,+5.354s
16,24,Ivan Capelli,March Judd,+5.442s
25,25,Rene Arnoux,Ligier Ford,+5.520s
8,26,Stefano Modena,Brabham Judd,+5.664s
5,27,Thierry Boutsen,Williams Renault,+5.699s
15,28,Mauricio Gugelmin,March Judd,+5.932s
36,29,Stefan Johansson,Onyx Ford,+6.104s
28,30,Gerhard Berger,Ferrari,+6.312s
