,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:30.737,27
2,2,Rubens Barrichello,Ferrari,+0.266s,22
4,3,David Coulthard,McLaren Mercedes,+0.799s,26
17,4,Kimi Räikkönen,Sauber Petronas,+0.989s,27
11,5,Heinz-Harald Frentzen,Jordan Honda,+1.427s,24
16,6,Nick Heidfeld,Sauber Petronas,+1.655s,25
5,7,Ralf Schumacher,Williams BMW,+2.288s,19
9,8,Olivier Panis,BAR Honda,+2.334s,29
15,9,Enrique Bernoldi,Arrows Asiatech,+3.147s,19
3,10,Mika Hakkinen,McLaren Mercedes,+3.299s,21
22,11,Jean Alesi,Prost Acer,+3.794s,25
6,12,Juan Pablo Montoya,Williams BMW,+3.811s,24
10,13,Jacques Villeneuve,BAR Honda,+4.052s,21
14,14,Jos Verstappen,Arrows Asiatech,+4.211s,31
23,15,Gaston Mazzacane,Prost Acer,+4.319s,27
12,16,Jarno Trulli,Jordan Honda,+5.309s,27
21,17,Fernando Alonso,Minardi European,+5.321s,30
20,18,Tarso Marques,Minardi European,+5.934s,28
8,19,Jenson Button,Benetton Renault,+7.569s,24
7,20,Giancarlo Fisichella,Benetton Renault,+8.477s,21
18,21,Eddie Irvine,Jaguar Cosworth,+11.034s,14
19,22,Luciano Burti,Jaguar Cosworth,,2
