,Position,Driver,Car,Time,Laps
4,1,David Coulthard,McLaren Mercedes,1:23.054,12
3,2,Mika Hakkinen,McLaren Mercedes,1:23.282,12
5,3,Ralf Schumacher,Williams BMW,1:23.357,12
1,4,Michael Schumacher,Ferrari,1:23.593,12
12,5,Jarno Trulli,Jordan Honda,1:23.658,12
2,6,Rubens Barrichello,Ferrari,1:23.786,10
6,7,Juan Pablo Montoya,Williams BMW,1:24.141,12
9,8,Olivier Panis,BAR Honda,1:24.213,12
11,9,Heinz-Harald Frentzen,Jordan Honda,1:24.436,11
17,10,Kimi Räikkönen,Sauber Petronas,1:24.671,12
10,11,Jacques Villeneuve,BAR Honda,1:24.769,12
16,12,Nick Heidfeld,Sauber Petronas,1:25.007,12
18,13,Eddie Irvine,Jaguar Cosworth,1:25.392,12
22,14,Jean Alesi,Prost Acer,1:25.411,12
19,15,Luciano Burti,Jaguar Cosworth,1:25.572,12
15,16,Enrique Bernoldi,Arrows Asiatech,1:25.872,12
14,17,Jos Verstappen,Arrows Asiatech,1:26.062,12
21,18,Fernando Alonso,Minardi European,1:26.855,12
7,19,Giancarlo Fisichella,Benetton Renault,1:26.902,11
23,20,Gaston Mazzacane,Prost Acer,1:27.750,12
8,21,Jenson Button,Benetton Renault,1:27.758,11
20,22,Tarso Marques,Minardi European,1:28.281,12
