,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,53,1:21.134,190.972,14:19:15
5,2,Sebastian Vettel,Ferrari,61,1:22.497,187.817,14:30:04
7,3,Kimi Räikkönen,Ferrari,47,1:22.512,187.783,14:11:01
44,4,Lewis Hamilton,Mercedes,66,1:22.596,187.592,14:36:43
6,5,Nico Rosberg,Mercedes,43,1:22.792,187.148,14:04:55
33,6,Max Verstappen,Red Bull Racing TAG Heuer,66,1:22.887,186.934,14:36:57
20,7,Kevin Magnussen,Renault,53,1:23.146,186.351,14:21:02
8,8,Romain Grosjean,Haas Ferrari,53,1:23.278,186.056,14:21:12
27,9,Nico Hulkenberg,Force India Mercedes,50,1:23.288,186.034,14:15:07
21,10,Esteban Gutierrez ,Haas Ferrari,63,1:23.456,185.659,14:35:02
77,11,Valtteri Bottas,Williams Mercedes,65,1:23.540,185.472,14:36:20
19,12,Felipe Massa,Williams Mercedes,64,1:23.576,185.392,14:35:08
11,13,Sergio Perez,Force India Mercedes,62,1:23.607,185.324,14:32:22
26,14,Daniil Kvyat,Toro Rosso Ferrari,59,1:23.618,185.299,14:29:10
12,15,Felipe Nasr,Sauber Ferrari,58,1:23.657,185.213,14:27:39
14,16,Fernando Alonso,McLaren Honda,69,1:23.668,185.189,14:43:04
22,17,Jenson Button,McLaren Honda,70,1:23.777,184.948,14:44:21
9,18,Marcus Ericsson,Sauber Ferrari,65,1:24.340,183.713,14:37:10
55,19,Carlos Sainz,Toro Rosso Ferrari,52,1:24.467,183.437,14:19:02
30,20,Jolyon Palmer,Renault,64,1:24.574,183.205,14:36:00
31,21,Esteban Ocon,MRT Mercedes,43,1:24.964,182.364,14:06:52
