,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:19.447,1:19.137,1:18.704,18
6,2,Nico Rosberg,Mercedes,1:19.996,1:19.761,1:18.958,22
33,3,Max Verstappen,Red Bull Racing TAG Heuer,1:19.874,1:18.972,1:19.054,14
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:19.713,1:19.553,1:19.133,15
27,5,Nico Hulkenberg,Force India Mercedes,1:20.599,1:19.769,1:19.330,22
7,6,Kimi Räikkönen,Ferrari,1:19.554,1:19.936,1:19.376,21
5,7,Sebastian Vettel,Ferrari,1:19.865,1:19.385,1:19.381,17
77,8,Valtteri Bottas,Williams Mercedes,1:20.338,1:19.958,1:19.551,20
19,9,Felipe Massa,Williams Mercedes,1:20.423,1:20.151,1:20.032,19
55,10,Carlos Sainz,Toro Rosso Ferrari,1:20.457,1:20.169,1:20.378,24
14,11,Fernando Alonso,McLaren Honda,1:20.552,1:20.282,,12
11,12,Sergio Perez,Force India Mercedes,1:20.308,1:20.287,,14
22,13,Jenson Button,McLaren Honda,1:21.333,1:20.673,,17
20,14,Kevin Magnussen,Renault,1:21.254,1:21.131,,18
9,15,Marcus Ericsson,Sauber Ferrari,1:21.062,1:21.536,,15
94,16,Pascal Wehrlein,MRT Mercedes,1:21.363,1:21.785,,17
21,17,Esteban Gutierrez ,Haas Ferrari,1:21.401,,,9
26,18,Daniil Kvyat,Toro Rosso Ferrari,1:21.454,,,4
12,19,Felipe Nasr,Sauber Ferrari,1:21.692,,,9
31,20,Esteban Ocon,MRT Mercedes,1:21.881,,,10
8,21,Romain Grosjean,Haas Ferrari,1:21.916,,,10
