,Position,Driver,Car,Time
4,1,Lando Norris,McLaren Mercedes,1:41.993
55,2,Carlos Sainz,Ferrari,1:42.510
63,3,George Russell,Williams Mercedes,1:42.983
44,4,Lewis Hamilton,Mercedes,1:44.050
3,5,Daniel Ricciardo,McLaren Mercedes,1:44.156
14,6,Fernando Alonso,Alpine Renault,1:44.204
18,7,Lance Stroll,Aston Martin Mercedes,1:44.956
11,8,Sergio Perez,Red Bull Racing Honda,1:45.337
31,9,Esteban Ocon,Alpine Renault,1:45.865
5,10,Sebastian Vettel,Aston Martin Mercedes,1:46.573
10,11,Pierre Gasly,AlphaTauri Honda,1:46.641
22,12,Yuki Tsunoda,AlphaTauri Honda,1:46.751
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:49.586
47,14,Mick Schumacher,Haas Ferrari,1:49.830
9,15,Nikita Mazepin,Haas Ferrari,1:53.764
77,16,Valtteri Bottas,Mercedes,1:44.710
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:51.023
6,18,Nicholas Latifi,Williams Mercedes,
16,19,Charles Leclerc,Ferrari,
33,20,Max Verstappen,Red Bull Racing Honda,
