,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
10,1,Pierre Gasly,Red Bull Racing Honda,72,1:14.279,161.730,16:48:49
77,2,Valtteri Bottas,Mercedes,65,1:15.163,159.828,16:39:30
23,3,Alexander Albon,Scuderia Toro Rosso Honda,43,1:15.607,158.890,16:11:30
3,4,Daniel Ricciardo,Renault,78,1:15.697,158.701,16:57:15
55,5,Carlos Sainz,McLaren Renault,32,1:15.891,158.295,15:57:14
44,6,Lewis Hamilton,Mercedes,9,1:16.167,157.721,15:24:20
33,7,Max Verstappen,Red Bull Racing Honda,9,1:16.229,157.593,15:24:23
27,8,Nico Hulkenberg,Renault,65,1:16.276,157.496,16:40:54
5,9,Sebastian Vettel,Ferrari,9,1:16.277,157.494,15:24:25
26,10,Daniil Kvyat,Scuderia Toro Rosso Honda,31,1:16.288,157.471,15:55:39
99,11,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,46,1:16.299,157.448,16:16:41
18,12,Lance Stroll,Racing Point BWT Mercedes,45,1:16.379,157.284,16:14:52
4,13,Lando Norris,McLaren Renault,61,1:16.413,157.214,16:35:28
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,50,1:16.436,157.166,16:21:43
11,15,Sergio Perez,Racing Point BWT Mercedes,67,1:16.613,156.803,16:43:25
8,16,Romain Grosjean,Haas Ferrari,41,1:16.746,156.531,16:08:40
20,17,Kevin Magnussen,Haas Ferrari,61,1:16.992,156.031,16:35:32
63,18,George Russell,Williams Mercedes,76,1:17.038,155.938,16:55:23
88,19,Robert Kubica,Williams Mercedes,32,1:17.388,155.233,15:57:59
16,20,Charles Leclerc,Ferrari,6,1:19.151,151.775,15:20:57
