,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:17.129,9
5,2,Damon Hill,Williams Renault,1:17.182,12
6,3,Jacques Villeneuve,Williams Renault,1:17.259,11
2,4,Eddie Irvine,Ferrari,1:18.617,12
3,5,Jean Alesi,Benetton Renault,1:18.754,9
4,6,Gerhard Berger,Benetton Renault,1:18.794,12
7,7,Mika Hakkinen,McLaren Mercedes,1:19.116,11
14,8,Johnny Herbert,Sauber Ford,1:19.292,12
8,9,David Coulthard,McLaren Mercedes,1:19.384,12
15,10,Heinz-Harald Frentzen,Sauber Ford,1:19.436,10
9,11,Olivier Panis,Ligier Mugen Honda,1:19.538,11
12,12,Martin Brundle,Jordan Peugeot,1:19.828,12
11,13,Rubens Barrichello,Jordan Peugeot,1:19.966,12
18,14,Ukyo Katayama,Tyrrell Yamaha,1:20.499,12
10,15,Pedro Diniz,Ligier Mugen Honda,1:20.665,12
19,16,Mika Salo,Tyrrell Yamaha,1:20.678,12
17,17,Jos Verstappen,Footwork Hart,1:20.781,11
16,18,Ricardo Rosset,Footwork Hart,1:21.590,12
20,19,Pedro Lamy,Minardi Ford,1:21.713,12
21,20,Giovanni Lavaggi,Minardi Ford,1:22.468,12
