,Position,Driver,Car,Laps,Time,Points
11,1,Giancarlo Fisichella,Jordan Ford,54,1:31:17.748,10
6,2,Kimi Räikkönen,McLaren Mercedes,54,+0.945s,8
8,3,Fernando Alonso,Renault,54,+6.348s,6
5,4,David Coulthard,McLaren Mercedes,54,+8.096s,5
10,5,Heinz-Harald Frentzen,Sauber Petronas,54,+8.642s,4
16,6,Jacques Villeneuve,BAR Honda,54,+16.054s,3
4,7,Ralf Schumacher,Williams BMW,54,+38.526s,2
7,8,Jarno Trulli,Renault,54,+45.927s,1
14,9,Mark Webber,Jaguar Cosworth,53,DNF,0
21,10,Cristiano da Matta,Toyota,53,+1 lap,0
2,NC,Rubens Barrichello,Ferrari,46,DNF,0
17,NC,Jenson Button,BAR Honda,32,DNF,0
19,NC,Jos Verstappen,Minardi Cosworth,30,DNF,0
1,NC,Michael Schumacher,Ferrari,26,DNF,0
3,NC,Juan Pablo Montoya,Williams BMW,24,DNF,0
15,NC,Antonio Pizzonia,Jaguar Cosworth,24,DNF,0
20,NC,Olivier Panis,Toyota,17,DNF,0
12,NC,Ralph Firman,Jordan Ford,17,DNF,0
18,NC,Justin Wilson,Minardi Cosworth,15,DNF,0
9,NC,Nick Heidfeld,Sauber Petronas,8,DNF,0
