,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:13.807,3
5,2,David Coulthard,McLaren Mercedes,1:13.818,3
14,3,Mark Webber,Jaguar Cosworth,1:13.851,3
6,4,Kimi Räikkönen,McLaren Mercedes,1:13.866,3
7,5,Jarno Trulli,Renault,1:13.953,3
4,6,Ralf Schumacher,Williams BMW,1:14.124,3
1,7,Michael Schumacher,Ferrari,1:14.130,3
11,8,Giancarlo Fisichella,Jordan Ford,1:14.191,3
3,9,Juan Pablo Montoya,Williams BMW,1:14.223,3
8,10,Fernando Alonso,Renault,1:14.384,3
17,11,Jenson Button,BAR Honda,1:14.504,3
9,12,Nick Heidfeld,Sauber Petronas,1:14.631,3
16,13,Jacques Villeneuve,BAR Honda,1:14.668,3
10,14,Heinz-Harald Frentzen,Sauber Petronas,1:14.839,3
20,15,Olivier Panis,Toyota,1:14.839,3
12,16,Ralph Firman,Jordan Ford,1:15.240,3
15,17,Antonio Pizzonia,Jaguar Cosworth,1:15.317,3
21,18,Cristiano da Matta,Toyota,1:15.641,3
19,19,Jos Verstappen,Minardi Cosworth,1:16.542,3
18,20,Justin Wilson,Minardi Cosworth,1:16.586,3
