,Position,Driver,Car,Laps,Time,Points
46,1,Alberto Ascari,Ferrari,65,3:01:34.400,9
24,2,Nino Farina,Ferrari,65,+72.930s,6
26,3,Mike Hawthorn,Ferrari,65,+95.960s,4
32,4,Felice  Bonetto,Maserati,64,+1 lap,1.5
34,5,Hermann Lang,Maserati,62,+3 laps,2
28,6,Luigi  Villoresi,Ferrari,62,+3 laps,0
20,7,Ken  Wharton,Cooper Bristol,62,+3 laps,0
4,NC,Chico Landi,Maserati,54,DNF,0
40,8,Max de Terra,Ferrari,51,+14 laps,0
18,9,Albert Scherrer,HWM Alta,49,+16 laps,0
42,NC,Toulo de Graffenried,Maserati,48,DNF,0
36,NC,Onofre Marimon,Maserati,46,DNF,0
8,NC,Maurice  Trintignant,Gordini,43,DNF,0
6,NC,Jean Behra,Gordini,37,DNF,0
30,NC,Juan Manuel Fangio,Maserati,29,DNF,0
16,NC,Lance Macklin,HWM Alta,29,DNF,0
38,NC,Peter Hirt,Ferrari,17,DNF,0
14,NC,Paul Frere,HWM Alta,1,DNF,0
10,NC,Louis  Rosier,Ferrari,0,DNF,0
2,NC,Jacques Swaters,Ferrari,0,DNF,0
