,Position,Driver,Car,Time
32,1,Juan Manuel Fangio,Maserati,2:40.100
46,2,Alberto Ascari,Ferrari,2:40.700
24,3,Nino Farina,Ferrari,2:42.600
8,4,Maurice  Trintignant,Gordini,2:43.800
36,5,Onofre Marimon,Maserati,2:44.500
28,6,Luigi  Villoresi,Ferrari,2:44.600
26,7,Mike Hawthorn,Ferrari,2:48.100
42,8,Toulo de Graffenried,Maserati,2:49.900
20,9,Ken  Wharton,Cooper Bristol,2:51.500
30,10,Felice  Bonetto,Maserati,2:52.000
34,11,Hermann Lang,Maserati,2:54.800
6,12,Jean Behra,Gordini,2:55.000
2,13,Jacques Swaters,Ferrari,2:55.100
10,14,Louis  Rosier,Ferrari,2:55.400
16,15,Lance Macklin,HWM Alta,2:57.100
14,16,Paul Frere,HWM Alta,2:57.900
38,17,Peter Hirt,Ferrari,3:01.500
18,18,Albert Scherrer,HWM Alta,3:07.400
40,19,Max de Terra,Ferrari,3:21.100
4,20,Chico Landi,Maserati,3:29.700
