,Position,Driver,Car,Laps,Time,Points
6,1,Nico Rosberg,Mercedes,53,1:26:43.333,25
33,2,Max Verstappen,Red Bull Racing TAG Heuer,53,+4.978s,18
44,3,Lewis Hamilton,Mercedes,53,+5.776s,15
5,4,Sebastian Vettel,Ferrari,53,+20.269s,12
7,5,Kimi Räikkönen,Ferrari,53,+28.370s,10
3,6,Daniel Ricciardo,Red Bull Racing TAG Heuer,53,+33.941s,8
11,7,Sergio Perez,Force India Mercedes,53,+57.495s,6
27,8,Nico Hulkenberg,Force India Mercedes,53,+59.177s,4
19,9,Felipe Massa,Williams Mercedes,53,+97.763s,2
77,10,Valtteri Bottas,Williams Mercedes,53,+98.323s,1
8,11,Romain Grosjean,Haas Ferrari,53,+99.254s,0
30,12,Jolyon Palmer,Renault,52,+1 lap,0
26,13,Daniil Kvyat,Toro Rosso Ferrari,52,+1 lap,0
20,14,Kevin Magnussen,Renault,52,+1 lap,0
9,15,Marcus Ericsson,Sauber Ferrari,52,+1 lap,0
14,16,Fernando Alonso,McLaren Honda,52,+1 lap,0
55,17,Carlos Sainz,Toro Rosso Ferrari,52,+1 lap,0
22,18,Jenson Button,McLaren Honda,52,+1 lap,0
12,19,Felipe Nasr,Sauber Ferrari,52,+1 lap,0
21,20,Esteban Gutierrez ,Haas Ferrari,52,+1 lap,0
31,21,Esteban Ocon,MRT Mercedes,52,+1 lap,0
94,22,Pascal Wehrlein,MRT Mercedes,52,+1 lap,0
