,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:41.838,12
7,2,David Coulthard,McLaren Mercedes,1:42.347,9
1,3,Jacques Villeneuve,Williams Mecachrome,1:42.365,12
10,4,Ralf Schumacher,Jordan Mugen Honda,1:42.994,12
9,5,Damon Hill,Jordan Mugen Honda,1:43.183,12
4,6,Eddie Irvine,Ferrari,1:43.270,11
6,7,Alexander Wurz,Benetton Playlife,1:43.341,11
5,8,Giancarlo Fisichella,Benetton Playlife,1:43.369,12
3,9,Michael Schumacher,Ferrari,1:43.459,12
2,10,Heinz-Harald Frentzen,Williams Mecachrome,1:43.467,11
14,11,Jean Alesi,Sauber Petronas,1:43.663,12
15,12,Johnny Herbert,Sauber Petronas,1:44.599,11
18,13,Rubens Barrichello,Stewart Ford,1:44.776,12
12,14,Jarno Trulli,Prost Peugeot,1:44.844,12
21,15,Toranosuke Takagi,Tyrrell Ford,1:44.961,11
11,16,Olivier Panis,Prost Peugeot,1:45.197,12
17,17,Mika Salo,Arrows,1:45.276,12
16,18,Pedro Diniz,Arrows,1:45.588,12
19,19,Jos Verstappen,Stewart Ford,1:45.623,11
22,20,Shinji Nakano,Minardi Ford,1:46.713,12
23,21,Esteban Tuero,Minardi Ford,1:47.265,12
