,Position,Driver,Car,Time
5,1,Sebastian Vettel,RBR Renault,1:35.585
6,2,Mark Webber,RBR Renault,1:35.659
8,3,Fernando Alonso,Ferrari,1:35.766
2,4,Lewis Hamilton,McLaren Mercedes,1:36.062
4,5,Nico Rosberg,Mercedes,1:36.535
7,6,Felipe Massa,Ferrari,1:36.571
1,7,Jenson Button,McLaren Mercedes,1:36.731
11,8,Robert Kubica,Renault,1:36.824
3,9,Michael Schumacher,Mercedes,1:36.950
9,10,Rubens Barrichello,Williams Cosworth,1:36.998
10,11,Nico Hulkenberg,Williams Cosworth,1:37.620
23,12,Kamui Kobayashi,Sauber Ferrari,1:37.643
22,13,Nick Heidfeld,Sauber Ferrari,1:37.715
14,14,Adrian Sutil,Force India Mercedes,1:37.783
17,15,Jaime Alguersuari,STR Ferrari,1:37.853
16,16,Sebastien Buemi,STR Ferrari,1:38.594
15,17,Vitantonio Liuzzi,Force India Mercedes,1:38.955
18,18,Jarno Trulli,Lotus Cosworth,1:40.521
24,19,Timo Glock,Virgin Cosworth,1:40.748
12,20,Vitaly Petrov,Renault,1:37.799
19,21,Heikki Kovalainen,Lotus Cosworth,1:41.768
25,22,Lucas di Grassi,Virgin Cosworth,1:42.325
20,23,Sakon Yamamoto,HRT Cosworth,1:42.444
21,24,Bruno Senna,HRT Cosworth,1:43.283
