,Position,Driver,Car,Time / Gap,Laps
6,1,Mark Webber,RBR Renault,1:37.942,23
8,2,Fernando Alonso,Ferrari,+0.190s,30
2,3,Lewis Hamilton,McLaren Mercedes,+0.337s,29
11,4,Robert Kubica,Renault,+0.776s,29
1,5,Jenson Button,McLaren Mercedes,+0.784s,19
7,6,Felipe Massa,Ferrari,+0.878s,32
5,7,Sebastian Vettel,RBR Renault,+1.262s,22
12,8,Vitaly Petrov,Renault,+1.325s,28
4,9,Nico Rosberg,Mercedes,+1.326s,29
23,10,Kamui Kobayashi,Sauber Ferrari,+1.622s,26
22,11,Nick Heidfeld,Sauber Ferrari,+1.646s,25
3,12,Michael Schumacher,Mercedes,+1.656s,26
9,13,Rubens Barrichello,Williams Cosworth,+1.870s,35
15,14,Vitantonio Liuzzi,Force India Mercedes,+1.939s,27
14,15,Adrian Sutil,Force India Mercedes,+2.029s,22
10,16,Nico Hulkenberg,Williams Cosworth,+2.536s,30
17,17,Jaime Alguersuari,STR Ferrari,+2.636s,29
16,18,Sebastien Buemi,STR Ferrari,+2.954s,32
19,19,Heikki Kovalainen,Lotus Cosworth,+4.831s,29
18,20,Jarno Trulli,Lotus Cosworth,+4.859s,19
24,21,Timo Glock,Virgin Cosworth,+5.173s,26
25,22,Lucas di Grassi,Virgin Cosworth,+6.097s,29
20,23,Sakon Yamamoto,HRT Cosworth,+7.224s,19
21,24,Bruno Senna,HRT Cosworth,+8.707s,3
