,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,RBR Renault,1:37.123,1:36.074,1:35.585,19
6,2,Mark Webber,RBR Renault,1:37.373,1:36.039,1:35.659,21
8,3,Fernando Alonso,Ferrari,1:37.144,1:36.287,1:35.766,23
2,4,Lewis Hamilton,McLaren Mercedes,1:37.113,1:36.197,1:36.062,20
4,5,Nico Rosberg,Mercedes,1:37.708,1:36.791,1:36.535,18
7,6,Felipe Massa,Ferrari,1:37.515,1:36.169,1:36.571,18
1,7,Jenson Button,McLaren Mercedes,1:38.123,1:37.064,1:36.731,21
11,8,Robert Kubica,Renault,1:37.703,1:37.179,1:36.824,21
3,9,Michael Schumacher,Mercedes,1:37.980,1:37.077,1:36.950,22
9,10,Rubens Barrichello,Williams Cosworth,1:38.257,1:37.511,1:36.998,25
10,11,Nico Hulkenberg,Williams Cosworth,1:38.115,1:37.620,,18
23,12,Kamui Kobayashi,Sauber Ferrari,1:38.429,1:37.643,,15
22,13,Nick Heidfeld,Sauber Ferrari,1:38.171,1:37.715,,16
14,14,Adrian Sutil,Force India Mercedes,1:38.572,1:37.783,,18
12,15,Vitaly Petrov,Renault,1:38.174,1:37.799,,18
17,16,Jaime Alguersuari,STR Ferrari,1:38.583,1:37.853,,18
16,17,Sebastien Buemi,STR Ferrari,1:38.621,1:38.594,,16
15,18,Vitantonio Liuzzi,Force India Mercedes,1:38.955,,,10
18,19,Jarno Trulli,Lotus Cosworth,1:40.521,,,10
24,20,Timo Glock,Virgin Cosworth,1:40.748,,,8
19,21,Heikki Kovalainen,Lotus Cosworth,1:41.768,,,9
25,22,Lucas di Grassi,Virgin Cosworth,1:42.325,,,10
20,23,Sakon Yamamoto,HRT Cosworth,1:42.444,,,10
21,24,Bruno Senna,HRT Cosworth,1:43.283,,,7
