,Position,Driver,Car,Time / Gap,Laps
2,1,Lewis Hamilton,McLaren Mercedes,1:40.887,15
11,2,Robert Kubica,Renault,+0.081s,18
4,3,Nico Rosberg,Mercedes,+0.265s,21
5,4,Sebastian Vettel,RBR Renault,+0.484s,18
1,5,Jenson Button,McLaren Mercedes,+1.053s,16
3,6,Michael Schumacher,Mercedes,+1.135s,25
6,7,Mark Webber,RBR Renault,+1.315s,23
22,8,Nick Heidfeld,Sauber Ferrari,+1.406s,18
10,9,Nico Hulkenberg,Williams Cosworth,+1.791s,21
9,10,Rubens Barrichello,Williams Cosworth,+1.996s,23
12,11,Vitaly Petrov,Renault,+2.009s,22
7,12,Felipe Massa,Ferrari,+2.167s,25
23,13,Kamui Kobayashi,Sauber Ferrari,+2.422s,20
14,14,Adrian Sutil,Force India Mercedes,+2.715s,18
8,15,Fernando Alonso,Ferrari,+3.041s,21
16,16,Sebastien Buemi,STR Ferrari,+3.053s,23
15,17,Vitantonio Liuzzi,Force India Mercedes,+4.000s,21
17,18,Jaime Alguersuari,STR Ferrari,+4.254s,26
24,19,Timo Glock,Virgin Cosworth,+4.701s,20
25,20,Jerome d'Ambrosio,Virgin Cosworth,+5.726s,17
19,21,Heikki Kovalainen,Lotus Cosworth,+6.228s,22
20,22,Sakon Yamamoto,HRT Cosworth,+9.460s,29
21,23,Bruno Senna,HRT Cosworth,+9.934s,15
18,24,Jarno Trulli,Lotus Cosworth,+10.814s,11
