,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:32.983,1:32.835,1:31.304,19
33,2,Max Verstappen,Red Bull Racing Honda,1:33.630,1:33.157,1:31.867,21
77,3,Valtteri Bottas,Mercedes,1:32.656,1:32.405,1:31.956,19
11,4,Sergio Perez,Racing Point BWT Mercedes,1:33.704,1:33.038,1:32.317,15
3,5,Daniel Ricciardo,Renault,1:33.650,1:32.218,1:32.364,15
55,6,Carlos Sainz,McLaren Renault,1:33.967,1:32.757,1:32.550,15
31,7,Esteban Ocon,Renault,1:33.557,1:33.196,1:32.624,20
4,8,Lando Norris,McLaren Renault,1:33.804,1:33.081,1:32.847,19
10,9,Pierre Gasly,AlphaTauri Honda,1:33.734,1:33.139,1:33.000,21
23,10,Alexander Albon,Red Bull Racing Honda,1:33.919,1:33.153,1:33.008,19
16,11,Charles Leclerc,Ferrari,1:34.071,1:33.239,,10
26,12,Daniil Kvyat,AlphaTauri Honda,1:33.511,1:33.249,,16
18,13,Lance Stroll,Racing Point BWT Mercedes,1:33.852,1:33.364,,11
63,14,George Russell,Williams Mercedes,1:34.020,1:33.583,,11
5,15,Sebastian Vettel,Ferrari,1:34.134,1:33.609,,11
8,16,Romain Grosjean,Haas Ferrari,1:34.592,,,7
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:34.594,,,6
20,18,Kevin Magnussen,Haas Ferrari,1:34.681,,,8
6,19,Nicholas Latifi,Williams Mercedes,1:35.066,,,5
7,20,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:35.267,,,5
